,name,seed_everything,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,test_prompt_length,max_pred_length,lr,layer_norm_eps,adversarial_training,max_length,batch_size,max_val_accuracy,max_val_accuracy_step,min_train_loss,min_train_loss_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step
0,colorful-sweep-10,1996,8,4,1024,3,0.1,8,258,0.002,0.006,False,256,128,0.9961089491844177,75,0.021520545706152916,453,0.02057076245546341,186,-0.01733572408556938,186
1,smart-sweep-9,34897,8,4,1024,3,0.1,8,258,0.002,0.006,False,256,128,0.9961089491844177,15,0.021283000707626343,419,0.02103990502655506,248,-0.01686658151447773,248
2,vivid-sweep-8,11872,8,4,1024,3,0.1,8,258,0.002,0.006,False,256,128,0.9961089491844177,76,0.02163919433951378,479,0.02060263231396675,303,-0.01730385422706604,303
3,easy-sweep-7,27235,8,4,1024,3,0.1,8,258,0.002,0.006,False,256,128,0.9961089491844177,27,0.021398335695266724,342,0.02037646807730198,288,-0.017530018463730812,288
4,glowing-sweep-6,726,8,4,1024,3,0.1,8,258,0.002,0.006,False,256,128,0.9961089491844177,58,0.021502913907170296,378,0.02058577723801136,140,-0.01732070930302143,140
5,balmy-sweep-5,23567,8,4,1024,3,0.1,8,258,0.002,0.006,False,256,128,0.9961089491844177,53,0.021475791931152344,343,0.020768847316503525,204,-0.017137639224529266,204
6,fancy-sweep-4,5748,8,4,1024,3,0.1,8,258,0.002,0.006,False,256,128,0.9961089491844177,24,0.021657245233654976,466,0.020389823243021965,273,-0.017516663298010826,273
7,easy-sweep-3,982,8,4,1024,3,0.1,8,258,0.002,0.006,False,256,128,0.9961089491844177,47,0.021229667589068413,456,0.020497256889939308,126,-0.017409229651093483,126
8,visionary-sweep-2,64,8,4,1024,3,0.1,8,258,0.002,0.006,False,256,128,0.9961089491844177,50,0.02137601375579834,189,0.020399609580636024,288,-0.017506876960396767,288
9,royal-sweep-1,42,8,4,1024,3,0.1,8,258,0.002,0.006,False,256,128,0.9961089491844177,27,0.0212966650724411,431,0.020542778074741364,128,-0.017363708466291428,128
