,name,seed_everything,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,test_prompt_length,max_pred_length,lr,layer_norm_eps,adversarial_training,max_length,batch_size,max_val_accuracy,max_val_accuracy_step,min_train_loss,min_train_loss_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,as_before_bs_accuracy4min_val_loss,same_as_bs_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,ood_as_before_bs_accuracy4min_val_loss,ood_as_before_bs_completion_accuracy4min_val_loss,ood_same_as_bs_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,sos_as_before_bs_accuracy4min_val_loss,sos_same_as_bs_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss
0,treasured-sweep-51,62090,10,5,1024,5,0.1,8,300,0.002,0.006,True,256,128,0.9948626160621643,26,0.024704916402697563,71,0.024093354120850563,32,-0.013813132420182228,32,1,0.0,0.0,0.009569377638399601,1.0,0.0,0,0,0,0
1,olive-sweep-50,37341,10,5,1024,5,0.1,8,300,0.002,0.006,True,256,128,0.9956833720207214,51,0.024280069395899773,119,0.023665372282266617,58,-0.014241114258766174,58,1,0.0,0.0,0.013513513840734959,1.0,0.0,0,0,0,0
2,bright-sweep-49,66148,10,5,1024,5,0.1,8,300,0.002,0.006,True,256,128,0.9956225752830505,52,0.024628516286611557,113,0.02349434234201908,60,-0.01441214419901371,60,1,0.0,0.0,0.009049774147570133,1.0,0.0,0,0,0,0
3,cool-sweep-48,40082,10,5,1024,5,0.1,8,300,0.002,0.006,True,256,128,0.9958657622337341,58,0.024562066420912743,123,0.023573676124215126,57,-0.014332810416817665,57,1,0.0,0.0,0.01515151560306549,1.0,0.0,0,0,0,0
4,devoted-sweep-47,26845,10,5,1024,5,0.1,8,300,0.002,0.006,True,256,128,0.9958657622337341,72,0.02319931797683239,143,0.02224506251513958,68,-0.01566142402589321,68,1,0.0,0.0,0.00909090880304575,1.0,0.0,0,0,0,0
5,floral-sweep-46,35010,10,5,1024,5,0.1,8,300,0.002,0.006,True,256,128,0.9960177540779114,64,0.02282080613076687,145,0.02143053524196148,69,-0.016475951299071312,69,1,0.0,0.0,0.01250000111758709,1.0,0.0,0,0,0,0
6,daily-sweep-45,47216,10,5,1024,5,0.1,8,300,0.002,0.006,True,256,128,0.9958049654960632,60,0.02343614399433136,148,0.022691721096634865,74,-0.015214765444397926,74,1,0.0,0.0,0.004716981202363968,1.0,0.0,0,0,0,0
7,stellar-sweep-44,95366,10,5,1024,5,0.1,8,300,0.002,0.006,True,256,128,0.995652973651886,44,0.02290467545390129,146,0.022044552490115166,71,-0.015861934050917625,71,1,0.0,0.0,0.004629629664123058,1.0,0.0,0,0,0,0
8,ruby-sweep-43,98251,10,5,1024,5,0.1,8,300,0.002,0.006,True,256,128,0.995318591594696,49,0.023690668866038322,146,0.02304856851696968,74,-0.01485791802406311,74,1,0.0,0.0,0.00913241971284151,1.0,0.0,0,0,0,0
9,fallen-sweep-42,74999,10,5,1024,5,0.1,8,300,0.002,0.006,True,256,128,0.9958657622337341,51,0.02338513731956482,142,0.02250025048851967,74,-0.015406236052513123,74,1,0.0,0.0,0.015306122601032257,1.0,0.0,0,0,0,0
10,ancient-sweep-41,75678,10,5,1024,5,0.1,8,300,0.002,0.006,True,256,128,0.9945890307426453,40,0.023449182510375977,147,0.023128019645810127,74,-0.014778466895222664,74,1,0.0,0.0,0.010152284055948257,1.0,0.0,0,0,0,0
11,atomic-sweep-40,26936,10,5,1024,5,0.1,8,300,0.002,0.006,True,256,128,0.9958353638648987,70,0.02349228970706463,144,0.02193623222410679,70,-0.015970254316926003,70,1,0.0,0.0,0.009900989942252636,1.0,0.0,0,0,0,0
12,glorious-sweep-39,64741,10,5,1024,5,0.1,8,300,0.002,0.006,True,256,128,0.9961089491844177,60,0.023657580837607384,126,0.021742969751358032,73,-0.01616351678967476,73,1,1.0,1.0,0.0138248847797513,1.0,0.0,0,0,0,0
13,royal-sweep-37,99392,10,5,1024,5,0.1,8,300,0.002,0.006,True,256,128,0.995926558971405,57,0.02320411056280136,148,0.022492405027151108,70,-0.015414081513881683,70,1,0.0,0.0,0.010638297535479069,1.0,0.0,0,0,0,0
14,legendary-sweep-38,87246,10,5,1024,5,0.1,8,300,0.002,0.006,True,256,128,0.9958657622337341,59,0.02334730140864849,147,0.02303292788565159,69,-0.014873558655381203,69,1,0.0,0.0,0.015228426083922386,1.0,0.0,0,0,0,0
15,snowy-sweep-36,60826,10,5,1024,5,0.1,8,300,0.002,0.006,True,256,128,0.9958961606025696,59,0.023644007742404938,146,0.02205556631088257,69,-0.015850920230150223,69,1,0.0,0.0,0.014150943607091904,1.0,0.0,0,0,0,0
16,curious-sweep-35,91181,10,5,1024,5,0.1,8,300,0.002,0.006,True,256,128,0.995652973651886,69,0.02410476841032505,141,0.023280002176761627,68,-0.014626484364271164,68,1,0.0,0.0,0.01595744676887989,1.0,0.0,0,0,0,0
17,ethereal-sweep-33,64238,10,5,1024,5,0.1,8,300,0.002,0.006,True,256,128,0.9958353638648987,55,0.02333107404410839,149,0.022492356598377228,72,-0.015414129942655563,72,1,0.0,0.0,0.004878048785030842,1.0,0.0,0,0,0,0
18,rural-sweep-34,44245,10,5,1024,5,0.1,8,300,0.002,0.006,True,256,128,0.9960177540779114,70,0.02360440604388714,143,0.021707264706492424,70,-0.016199221834540367,70,1,0.25,0.25,0.016597511246800423,1.0,0.0,0,0,0,0
19,zesty-sweep-32,76558,10,5,1024,5,0.1,8,300,0.002,0.006,True,256,128,0.9961089491844177,73,0.02367996796965599,137,0.02173340506851673,73,-0.01617308147251606,73,1,1.0,1.0,0.014851484447717667,1.0,0.0,0,0,0,0
