,name,seed_everything,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,test_prompt_length,max_pred_length,lr,layer_norm_eps,adversarial_training,max_length,batch_size,max_val_accuracy,max_val_accuracy_step,min_train_loss,min_train_loss_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,as_before_bs_accuracy4min_val_loss,same_as_bs_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,ood_as_before_bs_accuracy4min_val_loss,ood_as_before_bs_completion_accuracy4min_val_loss,ood_same_as_bs_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,sos_as_before_bs_accuracy4min_val_loss,sos_same_as_bs_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss
0,dutiful-sweep-10,1996,8,4,1024,3,0.1,8,300,0.002,0.006,True,256,128,0.9921875,0,0.04190937429666519,471,0.03394559025764465,328,-0.003960896283388138,328,1.0,0.25,0.25,0.01593625545501709,1.0,0.2749004065990448,0,0.0,0.08411214500665665,0.0
1,comfy-sweep-9,34897,8,4,1024,3,0.1,8,300,0.002,0.006,True,256,128,0.9917923212051392,5,0.040951475501060486,326,0.035259608179330826,303,-0.0026468783617019653,303,1.0,0.25,0.25,0.01593625545501709,1.0,0.2749004065990448,0,0.08800000697374344,0.0560000017285347,0.0
2,wobbly-sweep-8,11872,8,4,1024,3,0.1,8,300,0.002,0.006,True,256,128,0.9918531179428101,2,0.04280060902237892,458,0.031980108469724655,309,-0.005926378071308136,309,1.0,0.25,0.25,0.01593625545501709,1.0,0.2749004065990448,0,0.1090909093618393,0.0,0.0
3,smooth-sweep-6,726,8,4,1024,3,0.1,8,300,0.002,0.006,True,256,128,0.9922786951065063,11,0.04044140875339508,92,0.03213949874043465,245,-0.0057669878005981445,245,1.0,0.25,0.25,0.01593625545501709,1.0,0.2749004065990448,0,0.10000000894069672,0.23333334922790527,0.0
4,hopeful-sweep-7,27235,8,4,1024,3,0.1,8,300,0.002,0.006,True,256,128,0.9921267032623291,0,0.043509140610694885,249,0.035471219569444656,175,-0.0024352669715881348,175,1.0,0.25,0.25,0.01593625545501709,1.0,0.2749004065990448,0,0.12264151126146317,0.3962264060974121,0.056603774428367615
5,cosmic-sweep-5,23567,8,4,1024,3,0.1,8,300,0.002,0.006,True,256,128,0.9921875,0,0.04093378037214279,203,0.033640261739492416,332,-0.004266224801540375,332,1.0,0.25,0.25,0.01593625545501709,1.0,0.2749004065990448,0,0.0,0.32926827669143677,0.0
6,jolly-sweep-3,982,8,4,1024,3,0.1,8,300,0.002,0.006,True,256,128,0.9917315244674683,0,0.04394349828362465,410,0.03494914993643761,326,-0.0029573366045951843,326,1.0,0.25,0.25,0.01593625545501709,1.0,0.2749004065990448,0,0.11320754885673523,0.2075471729040146,0.03773584961891174
7,lunar-sweep-4,5748,8,4,1024,3,0.1,8,300,0.002,0.006,True,256,128,0.9921571016311646,30,0.04127326235175133,482,0.03333708643913269,220,-0.004569400101900101,220,1.0,0.25,0.25,0.01593625545501709,1.0,0.2749004065990448,0,0.008333333767950535,0.23333334922790527,0.0
8,bumbling-sweep-2,64,8,4,1024,3,0.1,8,300,0.002,0.006,True,256,128,0.9922178983688354,0,0.04226032271981239,297,0.03282832354307175,341,-0.005078162997961044,341,1.0,0.5,0.5,0.01593625545501709,1.0,0.2749004065990448,0,0.12000000476837158,0.25333333015441895,0.0
9,deft-sweep-1,42,8,4,1024,3,0.1,8,300,0.002,0.006,True,256,128,0.9921571016311646,21,0.04146358743309975,363,0.03413848578929901,336,-0.00376800075173378,336,1.0,0.5,0.5,0.01593625545501709,1.0,0.2749004065990448,0,0.19327731430530548,0.32773110270500183,0.03361344709992409
