,name,seed_everything,test_prompt_length,max_pred_length,lr,adversarial_training,max_length,batch_size,model,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,layer_norm_eps,lstm_embedding_dim,lstm_hidden_dim,lstm_num_layers,lstm_dropout,linear_embedding_dim,linear_bias,linear_dim,mamba_d_model,mamba_d_state,mamba_d_conv,mamba_n_layers,min_train_loss,min_train_loss_step,max_val_accuracy,max_val_accuracy_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,rule_1_accuracy4min_val_loss,rule_2_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,finished4min_val_loss,ood_rule_1_accuracy4min_val_loss,ood_rule_2_completion_accuracy4min_val_loss,ood_rule_2_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,ood_finished4min_val_loss,sos_rule_1_accuracy4min_val_loss,sos_rule_2_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss,sos_finished4min_val_loss
0,vague-sweep-26,95145,5,300,0.002,False,256,128,transformer,10,5,1024,5,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,0.043978143483400345,76,0.5001215934753418,12,0.04477377608418465,12,0.0068672895431518555,12,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0
1,rose-sweep-25,67886,5,300,0.002,False,256,128,lstm,10,5,1024,5,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,0.037844300270080566,87,0.5019454956054688,7,0.03766953945159912,12,-0.00023694708943367004,12,1.0,1,1.0,0.6666666865348816,0.0,1,0.10344827175140381,0,1.0,0,0,0,0
2,usual-sweep-24,62651,5,300,0.002,False,256,128,transformer,10,5,1024,5,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,0.043582070618867874,80,0.5005775690078735,12,0.04298265278339386,12,0.005076166242361069,12,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0
3,cosmic-sweep-23,99921,5,300,0.002,False,256,128,mamba,10,5,1024,5,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,0.049508195370435715,23,0.9888132214546204,1,0.0516011007130146,6,0.013694614171981812,6,1.0,1,1.0,0.6666666865348816,0.0714285746216774,1,0.2142857313156128,0,0.48275861144065857,0,0,0,0
4,stilted-sweep-22,35483,5,300,0.002,False,256,128,mamba,10,5,1024,5,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,0.03751934692263603,202,0.9888740181922913,3,0.037531740963459015,39,-0.00037474557757377625,39,1.0,1,1.0,0.6666666865348816,0.25,1,0.25,0,0.41379308700561523,0,0,0,0
5,peachy-sweep-21,53402,5,300,0.002,False,256,128,lstm,10,5,1024,5,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,0.03763231635093689,111,0.501975953578949,25,0.037402644753456116,24,-0.0005038417875766754,24,1.0,1,1.0,1.0,0.0,1,0.10344827175140381,0,1.0,1,1,1,1
6,warm-sweep-20,57813,5,300,0.002,False,256,128,linear,10,5,1024,5,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,3.395745240553083e-09,499,0.5058669447898865,30,3.4029092876863842e-09,99,-0.03790648281574249,94,0.0,1,0.0,1.0,0.0,1,0.10344827175140381,0,1.0,1,1,1,1
7,visionary-sweep-18,64690,5,300,0.002,False,256,128,lstm,10,5,1024,5,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,0.03768456354737282,144,0.501975953578949,13,0.03739464282989502,23,-0.0005118437111377716,23,1.0,1,1.0,1.0,0.0,1,0.10344827175140381,0,1.0,1,1,1,1
8,sage-sweep-17,74284,5,300,0.002,False,256,128,transformer,10,5,1024,5,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,0.04280666261911392,99,0.5000303983688354,10,0.04496856406331062,14,0.007062077522277832,14,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0
9,rural-sweep-19,1116,5,300,0.002,False,256,128,linear,10,5,1024,5,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,3.6035017192403984e-09,499,0.5096060037612915,7,3.6321579077736033e-09,99,-0.03790648281574249,92,0.0,1,0.0,1.0,0.0,1,0.10344827175140381,0,1.0,1,1,1,1
