,name,seed_everything,test_prompt_length,max_pred_length,lr,adversarial_training,max_length,batch_size,model,optimizer,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,layer_norm_eps,lstm_embedding_dim,lstm_hidden_dim,lstm_num_layers,lstm_dropout,xlstm_embedding_dim,xlstm_num_blocks,linear_embedding_dim,linear_bias,linear_dim,mamba_d_model,mamba_d_state,mamba_d_conv,mamba_n_layers,min_train_loss,min_train_loss_step,max_val_accuracy,max_val_accuracy_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,rule_1_accuracy4min_val_loss,rule_3_accuracy4min_val_loss,rule_2_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,finished4min_val_loss,ood_rule_1_accuracy4min_val_loss,ood_rule_3_accuracy4min_val_loss,ood_rule_2_completion_accuracy4min_val_loss,ood_rule_2_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,ood_finished4min_val_loss,sos_rule_1_accuracy4min_val_loss,sos_rule_3_accuracy4min_val_loss,sos_rule_2_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss,sos_finished4min_val_loss
0,driven-sweep-29,21126,8,300,0.002,False,256,128,mamba,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,128,7,0.026448890566825867,10,0.9924914836883545,1,0.02921678125858307,1,-0.008689705282449722,1,0.75,0,1,0.75,0.800000011920929,0.15322580933570862,0,1.0,0.032258063554763794,0,0.4940239191055298,0,0,0,0,0
1,fresh-sweep-28,8116,8,300,0.002,False,256,128,transformer,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,128,7,0.020493850111961365,213,0.994163453578949,17,0.02329808846116066,17,-0.014608398079872131,17,1.0,0,1,1.0,0.800000011920929,0.6279069781303406,0,1.0,0.032258063554763794,0,0.4940239191055298,0,0,0,0,0
2,laced-sweep-27,74790,8,300,0.002,False,256,128,mamba,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,128,7,0.01888394169509411,385,0.9961393475532532,33,0.018884234130382538,83,-0.019022252410650253,83,1.0,0,1,1.0,1.0,0.5542168617248535,0,1.0,0.032258063554763794,0,0.5179283022880554,1,0,1,1,1
3,young-sweep-26,34295,8,300,0.002,False,256,128,lstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,128,7,0.01882583647966385,208,0.9961393475532532,37,0.018891703337430954,84,-0.019014783203601837,84,1.0,0,1,1.0,1.0,0.2956521511077881,0,1.0,0.02139037474989891,0,1.0,1,0,1,1,1
4,smooth-sweep-25,45328,8,300,0.002,False,256,128,xlstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,128,7,0.018895553424954414,191,0.9961393475532532,35,0.018896063789725304,38,-0.019010422751307487,38,1.0,0,1,1.0,1.0,0.42553189396858215,0,1.0,0.03448275849223137,0,0.9482071995735168,1,0,1,1,1
5,wise-sweep-24,32047,8,300,0.002,False,256,128,transformer,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,128,7,0.01927047409117222,465,0.9961089491844177,26,0.01923227496445179,100,-0.018674211576581,100,1.0,0,1,1.0,0.800000011920929,0.7352941036224365,0,1.0,0.0267857164144516,0,0.4900398552417755,0,0,0,0,0
6,rural-sweep-23,85562,8,300,0.002,False,256,128,linear,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,128,7,1.2241536751389503e-05,129,0.505836546421051,1,2.5117175579071045,0,-0.03789425268769264,25,0.20000000298023224,0,1,0.20000000298023224,1.0,0.2749004065990448,0,1.0,0.01593625545501709,0,1.0,1,0,1,1,1
7,robust-sweep-22,91726,8,300,0.002,False,256,128,lstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,128,7,0.018803918734192848,305,0.9961393475532532,26,0.01888381689786911,196,-0.01902266964316368,196,1.0,0,1,1.0,1.0,0.27642273902893066,0,1.0,0.04301075264811516,0,0.5976095795631409,1,0,1,1,1
8,bumbling-sweep-21,1348,8,300,0.002,False,256,128,mamba,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,128,7,0.01888972893357277,193,0.9961393475532532,34,0.018890436738729477,38,-0.019016049802303314,38,1.0,0,1,1.0,1.0,0.3709677457809448,0,1.0,0.03448275849223137,0,0.6175298690795898,1,0,1,1,1
9,brisk-sweep-20,80922,8,300,0.002,False,256,128,transformer,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,128,7,0.020966259762644768,184,0.9945282340049744,12,0.022108664736151695,14,-0.015797821804881096,14,1.0,0,1,1.0,0.800000011920929,0.6585365533828735,0,1.0,0.02083333395421505,0,0.4302788972854614,0,0,0,0,0
