,name,seed_everything,test_prompt_length,max_pred_length,lr,adversarial_training,max_length,batch_size,model,optimizer,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,layer_norm_eps,lstm_embedding_dim,lstm_hidden_dim,lstm_num_layers,lstm_dropout,xlstm_embedding_dim,xlstm_num_blocks,linear_embedding_dim,linear_bias,linear_dim,mamba_d_model,mamba_d_state,mamba_d_conv,mamba_n_layers,min_train_loss,min_train_loss_step,max_val_accuracy,max_val_accuracy_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,rule_1_accuracy4min_val_loss,rule_3_accuracy4min_val_loss,rule_2_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,finished4min_val_loss,ood_rule_1_accuracy4min_val_loss,ood_rule_3_accuracy4min_val_loss,ood_rule_2_completion_accuracy4min_val_loss,ood_rule_2_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,ood_finished4min_val_loss,sos_rule_1_accuracy4min_val_loss,sos_rule_3_accuracy4min_val_loss,sos_rule_2_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss,sos_finished4min_val_loss
0,drawn-sweep-102,54346,8,300,0.002,False,256,128,lstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.018833406269550323,363,0.7403331398963928,16,0.018955711275339127,16,-0.018950775265693665,16,0.20000000298023224,0,1.0,0.20000000298023224,1.0,0.23306773602962494,0,1.0,0.021497488021850586,0,1.0,0.5675311088562012,0,0.998031497001648,0.5666424632072449,1.0
1,apricot-sweep-101,47161,8,300,0.002,False,256,128,linear,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,2.6326897994977116e-08,379,0.6050203442573547,16,2.768138885498047,0,-0.03706694021821022,4,0.20000000298023224,0,0.949999988079071,0.20000000298023224,1.0,0.21115538477897644,0,0.9462151527404785,0.013944223523139954,0,1.0,0.650390625,0,0.94921875,0.625,1.0
2,still-sweep-100,95864,8,300,0.002,False,256,128,mamba,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.018628716468811035,278,0.6611517667770386,14,0.01900571770966053,12,-0.018900766968727112,12,0.25,0,1.0,0.25,1.0,0.17083606123924255,0,0.9958333373069763,0.03843041509389877,0,0.9910359382629395,0.6060354709625244,0,0.9803853034973145,0.5910552740097046,1.0
3,legendary-sweep-99,41942,8,300,0.002,False,256,128,linear,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,4.022998822961199e-08,358,0.6055751442909241,15,3.112727403640747,0,-0.03790640830993652,16,0.20000000298023224,0,0.8999999761581421,0.15000000596046448,1.0,0.20816732943058014,0,0.9442231059074402,0.013944223523139954,0,1.0,0.65625,0,0.9453125,0.623046875,1.0
4,soft-sweep-98,57346,8,300,0.002,False,256,128,mamba,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.01870633475482464,311,0.6580663323402405,11,0.019011355936527252,11,-0.01889513060450554,11,0.3333333432674408,0,1.0,0.3333333432674408,1.0,0.2599465847015381,0,1.0,0.05010839179158211,0,0.9980079531669617,0.811877429485321,0,1.0,0.8096047043800354,1.0
5,eternal-sweep-97,76330,8,300,0.002,False,256,128,mamba,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.018559686839580536,265,0.5831711888313293,15,0.019165214151144028,17,-0.018741270527243614,17,0.3125,0,1.0,0.3125,1.0,0.27998441457748413,0,1.0,0.03170359507203102,0,1.0,0.8334364891052246,0,1.0,0.831281304359436,1.0
6,amber-sweep-107,12187,8,300,0.002,False,256,128,transformer,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.01938234083354473,459,0.7304384112358093,24,0.01964453235268593,23,-0.018261956050992012,23,0.4000000059604645,0,1.0,0.4000000059604645,1.0,0.2954154908657074,0,0.9272909164428711,0.014940239489078522,0,1.0,0.53644859790802,0,0.86328125,0.482421875,1.0
7,eager-sweep-106,39668,8,300,0.002,False,256,128,mamba,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.018643733114004135,352,0.6063959002494812,17,0.01899123005568981,15,-0.01891525648534298,15,0.30000001192092896,0,1.0,0.26250001788139343,1.0,0.16035857796669006,0,1.0,0.02820303663611412,0,1.0,0.6771961450576782,0,0.9954951405525208,0.6771961450576782,1.0
8,silver-sweep-105,8391,8,300,0.002,False,256,128,linear,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,3.0150229690661945e-07,277,0.6639257073402405,12,2.6680779457092285,0,-0.03533070161938667,3,0.20000000298023224,0,0.8999999761581421,0.20000000298023224,1.0,0.21115538477897644,0,0.9482071995735168,0.013944223523139954,0,1.0,0.673828125,0,0.9375,0.650390625,1.0
9,giddy-sweep-104,21449,8,300,0.002,False,256,128,mamba,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.018806802108883858,315,0.4599647521972656,11,0.020555995404720306,18,-0.017350491136312485,18,0.3499999940395355,0,1.0,0.3499999940395355,1.0,0.1779782623052597,0,0.9883996248245239,0.022119201719760895,0,0.9970120191574097,0.6717230081558228,0,0.990234375,0.6694707870483398,1.0
