,name,seed_everything,test_prompt_length,max_pred_length,lr,adversarial_training,max_length,batch_size,model,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,layer_norm_eps,lstm_embedding_dim,lstm_hidden_dim,lstm_num_layers,lstm_dropout,linear_embedding_dim,linear_bias,linear_dim,mamba_d_model,mamba_d_state,mamba_d_conv,mamba_n_layers,min_train_loss,min_train_loss_step,max_val_accuracy,max_val_accuracy_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,rule_1_accuracy4min_val_loss,rule_2_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,finished4min_val_loss,ood_rule_1_accuracy4min_val_loss,ood_rule_2_completion_accuracy4min_val_loss,ood_rule_2_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,ood_finished4min_val_loss,sos_rule_1_accuracy4min_val_loss,sos_rule_2_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss,sos_finished4min_val_loss
0,balmy-sweep-20,75092,5,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.02040383405983448,205,0.9917601346969604,39,0.024995137006044388,30,-0.012911352328956127,30,1.0,1,1.0,0.75,0.2142857313156128,1.0,0.0833333358168602,0,0.3514644205570221,0,0,0,0
1,mild-sweep-19,93078,5,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.0,407,0.5136186480522156,49,0.0,125,-0.03790648654103279,98,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
2,fallen-sweep-18,37336,5,300,0.002,False,256,128,lstm,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.017198439687490463,171,0.9961546659469604,18,0.01729809306561947,135,-0.020608393475413322,135,1.0,1,1.0,1.0,0.06756757199764252,1.0,0.054054051637649536,0,0.3096234202384949,1,1,1,1
3,sandy-sweep-17,23189,5,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.0,389,0.5134813189506531,1,0.0,119,-0.03790648654103279,98,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
4,gallant-sweep-15,8222,5,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.021767335012555122,208,0.9931334257125854,16,0.025252174586057663,16,-0.012654314748942852,16,1.0,1,1.0,0.75,0.24242426455020905,1.0,0.12121213227510452,0,0.2761506140232086,0,0,0,0
5,vivid-sweep-14,69723,5,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.0,415,0.5097275972366333,2,0.0,119,-0.03790648654103279,98,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
6,sunny-sweep-13,7469,5,300,0.002,False,256,128,lstm,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.01719573326408863,372,0.9961546659469604,34,0.01730000227689743,90,-0.02060648426413536,90,1.0,1,1.0,1.0,0.04895104840397835,1.0,0.10489509999752045,0,0.5983263850212097,1,1,1,1
7,devout-sweep-12,99485,5,300,0.002,False,256,128,lstm,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.017193328589200974,407,0.9961546659469604,23,0.017301950603723526,63,-0.020604535937309265,63,1.0,1,1.0,1.0,0.03208556026220322,1.0,0.06951871514320374,0,0.7824268341064453,1,1,1,1
8,mild-sweep-11,75715,5,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.022389477118849754,190,0.9915770292282104,24,0.02961049973964691,16,-0.008295988664031029,16,1.0,1,1.0,0.75,0.125,1.0,0.10227272659540176,0,0.3682008385658264,0,0,0,0
9,stellar-sweep-10,76789,5,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.0,405,0.505836546421051,1,0.0,121,-0.03790648654103279,97,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
10,lyric-sweep-26,56630,5,300,0.002,False,256,128,lstm,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.017174918204545975,314,0.9961546659469604,30,0.017297640442848206,146,-0.020608846098184586,146,1.0,1,1.0,1.0,0.017699114978313446,1.0,0.06194690242409706,0,0.9456067085266113,1,1,1,1
11,fresh-sweep-25,43105,5,300,0.002,False,256,128,lstm,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.017144551500678062,255,0.9961546659469604,39,0.017295239493250847,193,-0.020611247047781944,193,1.0,1,1.0,1.0,0.004347825888544321,0.9999998807907104,0.06086956337094307,0,0.9623430967330933,1,1,1,1
12,unique-sweep-24,82237,5,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.017294561490416527,249,0.9961546659469604,21,0.01729455590248108,49,-0.020611930638551712,49,1.0,1,1.0,1.0,0.0460251048207283,0.9707112908363342,0.05857740342617035,0,1.0,1,1,1,1
13,eager-sweep-23,2666,5,300,0.002,False,256,128,lstm,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.017191210761666298,99,0.9961546659469604,36,0.017294317483901978,180,-0.020612169057130814,180,1.0,1,1.0,1.0,0.009708737954497337,1.0,0.05339805781841278,0,0.8619247674942017,1,1,1,1
