,name,seed_everything,test_prompt_length,max_pred_length,lr,adversarial_training,max_length,batch_size,model,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,layer_norm_eps,lstm_embedding_dim,lstm_hidden_dim,lstm_num_layers,lstm_dropout,linear_embedding_dim,linear_bias,linear_dim,mamba_d_model,mamba_d_state,mamba_d_conv,mamba_n_layers,min_train_loss,min_train_loss_step,max_val_accuracy,max_val_accuracy_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,rule_1_accuracy4min_val_loss,rule_2_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,finished4min_val_loss,ood_rule_1_accuracy4min_val_loss,ood_rule_2_completion_accuracy4min_val_loss,ood_rule_2_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,ood_finished4min_val_loss,sos_rule_1_accuracy4min_val_loss,sos_rule_2_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss,sos_finished4min_val_loss
0,deep-sweep-68,76254,5,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,2.929187985500903e-07,279,0.6553456783294678,12,3.4553418159484863,0,-0.037905897945165634,12,0.125,0.5625,0.0625,1.0,0.04184100404381752,0.6297070980072021,0.0355648547410965,0,1.0,0.3203125,0.65625,0.3046875,1.0
1,divine-sweep-67,17371,5,300,0.002,False,256,128,lstm,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.01731731742620468,203,0.7328094840049744,12,0.01746678166091442,9,-0.02043970674276352,9,0.1875,1.0,0.1875,1.0,0.0460251048207283,0.9790794849395752,0.06066945567727089,0,1.0,0.37890625,0.953125,0.37109375,1.0
2,spring-sweep-66,15282,5,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.01710859313607216,164,0.6508921980857849,2,0.017449624836444855,16,-0.020456861704587936,16,0.1875,1.0,0.1875,1.0,0.033749427646398544,0.9771524667739868,0.1290597915649414,0,1.0,0.4883735179901123,1.0,0.4883735179901123,1.0
3,clean-sweep-65,55428,5,300,0.002,False,256,128,lstm,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.01737149991095066,277,0.7137646079063416,12,0.017409797757864,12,-0.020496688783168793,12,0.125,1.0,0.125,1.0,0.07357384264469147,0.9853556156158447,0.06066945940256119,0,1.0,0.3373369574546814,0.892578125,0.328125,1.0
4,rich-sweep-64,49000,5,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.017157720401883125,254,0.542801558971405,11,0.017527570948004723,11,-0.02037891559302807,11,0.2083333432674408,1.0,0.2083333432674408,1.0,0.03571288660168648,1.0,0.0913095623254776,0,0.9989539384841919,0.5847936868667603,1.0,0.5807936787605286,1.0
5,effortless-sweep-63,38189,5,300,0.002,False,256,128,lstm,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.017645763233304024,253,0.7150489091873169,9,0.017444519326090813,9,-0.020461969077587128,9,0.125,1.0,0.125,1.0,0.048117153346538544,0.960250973701477,0.06066945567727089,0,1.0,0.349609375,0.873046875,0.337890625,1.0
6,stellar-sweep-62,37320,5,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,1.2244688818441318e-08,417,0.624392032623291,15,3.5521275997161865,0,-0.036714281886816025,4,0.0625,0.625,0.0625,1.0,0.04497907683253288,0.6276150345802307,0.031380753964185715,0,1.0,0.314453125,0.625,0.2890625,1.0
7,dauntless-sweep-61,49940,5,300,0.002,False,256,128,lstm,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.01734806038439274,316,0.7343446016311646,14,0.01740000955760479,14,-0.020506476983428,14,0.1875,1.0,0.1875,1.0,0.04916318133473396,0.9937238097190857,0.06903765350580215,0,1.0,0.388671875,0.943359375,0.3828125,1.0
8,super-sweep-59,30739,5,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,3.1030689569888636e-05,99,0.5929596424102783,3,3.3280961513519287,0,-0.03783021122217178,3,0.0625,0.5,0.0625,1.0,0.04184100031852722,0.6223849058151245,0.030334725975990295,0,1.0,0.302734375,0.626953125,0.265625,1.0
9,colorful-sweep-60,89214,5,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.016912680119276047,430,0.7674185037612915,0,0.017355050891637802,10,-0.02055143564939499,10,0.3125,1.0,0.3125,1.0,0.06357960402965546,0.9939539432525635,0.12696678936481476,0,1.0,0.45983022451400757,0.9152155518531799,0.45983022451400757,1.0
