,name,seed_everything,test_prompt_length,max_pred_length,lr,adversarial_training,max_length,batch_size,model,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,layer_norm_eps,lstm_embedding_dim,lstm_hidden_dim,lstm_num_layers,lstm_dropout,linear_embedding_dim,linear_bias,linear_dim,mamba_d_model,mamba_d_state,mamba_d_conv,mamba_n_layers,min_train_loss,min_train_loss_step,max_val_accuracy,max_val_accuracy_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,rule_1_accuracy4min_val_loss,rule_2_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,finished4min_val_loss,ood_rule_1_accuracy4min_val_loss,ood_rule_2_completion_accuracy4min_val_loss,ood_rule_2_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,ood_finished4min_val_loss,sos_rule_1_accuracy4min_val_loss,sos_rule_2_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss,sos_finished4min_val_loss
0,dutiful-sweep-52,58729,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,7.04588210692636e-12,25,0.49207350611686707,0,1.134378008194048e-10,1,-0.03790648654103279,1,0.5,1.0,0.5,1.0,0.5,0.0,0,0,1.0,1,0,0,1
1,daily-sweep-51,44684,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,2.2199121013644074e-11,36,0.49493861198425293,0,1.433457796906623e-10,1,-0.03790648654103279,1,0.5,1.0,0.5,1.0,0.5,0.0,0,0,1.0,1,0,0,1
2,glowing-sweep-47,17772,8,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.20224301517009735,438,0.8700069785118103,0,0.27580153942108154,0,0.23789504170417786,0,0.6716417670249939,1.0,0.6716417670249939,0.875,0.6082473993301392,0.6153846383094788,0,0,0.96875,1,1,1,1
3,wandering-sweep-45,95708,8,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.19298113882541656,475,0.8740804195404053,0,0.2656953036785126,0,0.22778882086277008,0,0.6105263233184814,1.0,0.6105263233184814,1.0,0.5909091234207153,0.34375,0,0,1.0,1,1,1,1
4,wise-sweep-44,15491,8,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.19905446469783783,314,0.8741031885147095,0,0.2689492702484131,0,0.2310428023338318,0,0.8571429252624512,1.0,0.8571429252624512,0.984375,0.8571429252624512,0.41025641560554504,0,0,1.0,1,1,1,1
5,apricot-sweep-42,58559,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,3.694807654275323e-11,27,0.5073261260986328,0,7.852912764505504e-11,1,-0.03790648654103279,1,0.5,1.0,0.5,1.0,0.5,0.0,0,0,1.0,1,0,0,1
6,earnest-sweep-41,4718,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,2.2866229743012667e-11,34,0.4675644338130951,2,1.1362664975589354e-10,1,-0.03790648654103279,1,0.5,1.0,0.5,1.0,0.5,0.0,0,0,1.0,1,0,0,1
7,amber-sweep-39,34087,8,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.18206296861171722,78,0.8664731383323669,0,0.27911269664764404,0,0.24120622873306274,0,0.5440000295639038,1.0,0.5440000295639038,1.0,0.5903614163398743,0.6500000357627869,0,0,1.0,1,1,1,1
8,polished-sweep-37,69937,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.0,48,0.552126407623291,0,1.7380005767897444e-10,1,-0.03790648654103279,1,0.5,1.0,0.5,1.0,0.5,0.0,0,0,1.0,1,0,0,1
9,lively-sweep-36,50763,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.0,31,0.5036706328392029,2,2.2228464902074307e-10,1,-0.03790648654103279,1,0.5,1.0,0.5,1.0,0.5,0.0,0,0,1.0,1,0,0,1
10,ancient-sweep-43,67547,8,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.19865918159484863,330,0.8738828301429749,0,0.27243319153785706,0,0.23452670872211456,0,0.6666666865348816,1.0,0.6666666865348816,1.0,0.6486486792564392,0.7441860437393188,0,0,0.9921875,1,1,1,1
11,young-sweep-37,14568,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,3.825469455098762e-11,29,0.4887600243091583,0,1.6303633443293108e-10,1,-0.03790648654103279,1,0.5,1.0,0.5,1.0,0.5,0.0,0,0,1.0,1,0,0,1
12,sweepy-sweep-36,53213,8,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.19024260342121124,166,0.8721501231193542,0,0.2684137523174286,0,0.2305072546005249,0,0.7272727489471436,1.0,0.7272727489471436,1.0,0.800000011920929,0.785714328289032,0,0,1.0,1,1,1,1
