,name,seed_everything,test_prompt_length,max_pred_length,lr,adversarial_training,max_length,batch_size,model,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,layer_norm_eps,lstm_embedding_dim,lstm_hidden_dim,lstm_num_layers,lstm_dropout,linear_embedding_dim,linear_bias,linear_dim,mamba_d_model,mamba_d_state,mamba_d_conv,mamba_n_layers,min_train_loss,min_train_loss_step,max_val_accuracy,max_val_accuracy_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,rule_1_accuracy4min_val_loss,rule_2_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,finished4min_val_loss,ood_rule_1_accuracy4min_val_loss,ood_rule_2_completion_accuracy4min_val_loss,ood_rule_2_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,ood_finished4min_val_loss,sos_rule_1_accuracy4min_val_loss,sos_rule_2_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss,sos_finished4min_val_loss
0,efficient-sweep-26,93488,5,300,0.002,False,256,128,linear,10,5,1024,5,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,3.0737903888855556e-10,498,0.49654972553253174,28,0.020939838141202927,24,-0.016966648399829865,24,0.5,1,0.5,1.0,0.5,0.0,0,0,1.0,1,0,0,1
1,electric-sweep-25,88086,5,300,0.002,False,256,128,mamba,10,5,1024,5,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,0.05027696117758751,136,0.8679550886154175,0,0.5494610071182251,1,0.511554479598999,1,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0
2,warm-sweep-24,93123,5,300,0.002,False,256,128,transformer,10,5,1024,5,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,0.5012006759643555,197,0.3619741201400757,3,0.5556949377059937,4,0.5177885293960571,4,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0
3,golden-sweep-28,49958,5,300,0.002,False,256,128,mamba,10,5,1024,5,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,0.05172281339764595,134,0.8661767244338989,1,0.5528962016105652,1,0.5149897336959839,1,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0
4,hopeful-sweep-27,86241,5,300,0.002,False,256,128,transformer,10,5,1024,5,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,0.5273087620735168,115,0.381322979927063,3,0.5402933359146118,4,0.5023868083953857,4,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0
5,crimson-sweep-26,32213,5,300,0.002,False,256,128,lstm,10,5,1024,5,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,0.26751112937927246,155,0.3719829320907593,1,0.5442154407501221,2,0.506308913230896,2,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0
6,zany-sweep-25,82056,5,300,0.002,False,256,128,linear,10,5,1024,5,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,3.3774585905810284e-10,499,0.5088080763816833,26,0.04590962082147598,27,0.008003131486475468,27,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0
7,effortless-sweep-24,8931,5,300,0.002,False,256,128,linear,10,5,1024,5,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,4.369448414198729e-10,499,0.5264014005661011,29,0.031010355800390244,26,-0.00689613027498126,26,0.5,1,0.5,1.0,0.5,0.0,0,0,1.0,1,0,0,1
8,upbeat-sweep-23,24050,5,300,0.002,False,256,128,transformer,10,5,1024,5,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,0.5017470717430115,170,0.351045697927475,0,0.5452835559844971,5,0.5073771476745605,5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0
9,dainty-sweep-22,50689,5,300,0.002,False,256,128,linear,10,5,1024,5,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,5.976401040719281e-10,499,0.4814718961715698,32,0.031032785773277283,27,-0.006873700302094221,27,0.5,1,0.5,1.0,0.5,0.0,0,0,1.0,1,0,0,1
