,name,seed_everything,test_prompt_length,max_pred_length,lr,adversarial_training,max_length,batch_size,model,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,layer_norm_eps,lstm_embedding_dim,lstm_hidden_dim,lstm_num_layers,lstm_dropout,linear_embedding_dim,linear_bias,linear_dim,mamba_d_model,mamba_d_state,mamba_d_conv,mamba_n_layers,min_train_loss,min_train_loss_step,max_val_accuracy,max_val_accuracy_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,rule_1_accuracy4min_val_loss,rule_2_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,finished4min_val_loss,ood_rule_1_accuracy4min_val_loss,ood_rule_2_completion_accuracy4min_val_loss,ood_rule_2_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,ood_finished4min_val_loss,sos_rule_1_accuracy4min_val_loss,sos_rule_2_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss,sos_finished4min_val_loss
0,olive-sweep-16,22932,8,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.2065943479537964,34,0.8631368279457092,50,0.28122326731681824,29,0.24331678450107574,29,0.692307710647583,1.0,0.692307710647583,0.5,1.0,0.0,0,0,0.7734375,0.9058823585510254,1,0.9058823585510254,1.0
1,denim-sweep-15,89755,8,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.22840146720409393,431,0.8685250282287598,5,0.27424097061157227,16,0.23633447289466858,16,0.953125,1.0,0.953125,0.5,0.6969696879386902,0.0,0,0,0.7734375,1.0,1,1.0,1.0
2,tough-sweep-14,72836,8,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.2311459183692932,225,0.8738448023796082,72,0.26902344822883606,50,0.23111696541309357,50,1.0,1.0,1.0,0.5,0.7070707082748413,1.0,0,0,0.7734375,0.0,0,0.0,0.0
3,blooming-sweep-13,68799,8,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.22078777849674225,180,0.8686542510986328,26,0.27739763259887695,13,0.23949116468429565,13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0
4,wobbly-sweep-12,61229,8,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.2310306280851364,430,0.8698549866676331,22,0.2748410105705261,8,0.23693451285362244,8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0
5,polished-sweep-11,27727,8,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.21174022555351257,256,0.868509829044342,108,0.2756333351135254,83,0.2377268522977829,83,1.0,1.0,1.0,0.9296875,1.0,1.0,0,0,0.984375,1.0,1,1.0,1.0
6,copper-sweep-11,95322,8,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.20799431204795837,357,0.869094967842102,0,0.2773226797580719,2,0.23941616714000702,2,0.5846154093742371,1.0,0.5846154093742371,0.5078125,0.625,0.015384615398943424,0,0,0.734375,1.0,1,1.0,1.0
7,genial-sweep-10,97493,8,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.23400162160396576,34,0.8724693059921265,16,0.27212288975715637,16,0.23421640694141388,16,1.0,1.0,1.0,1.0,0.47899162769317627,1.0,0,0,0.9765625,1.0,1,1.0,1.0
8,sandy-sweep-8,43033,8,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.2383250892162323,247,0.8619133234024048,20,0.282598614692688,8,0.2446921169757843,8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0
9,fresh-sweep-9,46262,8,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.23057688772678375,243,0.8671798706054688,13,0.2777960002422333,3,0.2398895025253296,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0
10,rose-sweep-5,4113,8,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.19631199538707733,51,0.8629088401794434,8,0.2847898006439209,42,0.2468833178281784,42,0.7692307829856873,1.0,0.7692307829856873,0.3203125,1.0,1.0,0,0,0.0625,0.0,0,0.0,0.0
11,mild-sweep-6,96608,8,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.21539337933063507,496,0.8625972867012024,38,0.27935144305229187,34,0.241444930434227,34,0.5833333730697632,1.0,0.5833333730697632,0.65625,1.0,1.0,0,0,0.8515625,1.0,1,1.0,1.0
12,legendary-sweep-7,80200,8,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.2038680464029312,494,0.8694522380828857,33,0.2710537314414978,42,0.2331472784280777,42,0.5510203838348389,1.0,0.5510203838348389,0.5,0.5714285373687744,0.0,0,0,0.765625,0.0,0,0.0,0.0
13,graceful-sweep-4,63365,8,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.22592264413833618,443,0.863912045955658,13,0.28599148988723755,11,0.24808500707149506,11,0.6097560524940491,1.0,0.6097560524940491,0.984375,1.0,1.0,0,0,0.984375,0.0,0,0.0,0.0
14,devout-sweep-6,81618,8,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.23333443701267242,278,0.8680614829063416,7,0.27705278992652893,2,0.23914629220962524,2,0.796875,1.0,0.796875,1.0,1.0,1.0,0,0,1.0,1.0,1,1.0,1.0
