,name,seed_everything,test_prompt_length,max_pred_length,lr,adversarial_training,max_length,batch_size,model,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,layer_norm_eps,lstm_embedding_dim,lstm_hidden_dim,lstm_num_layers,lstm_dropout,linear_embedding_dim,linear_bias,linear_dim,mamba_d_model,mamba_d_state,mamba_d_conv,mamba_n_layers,min_train_loss,min_train_loss_step,max_val_accuracy,max_val_accuracy_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,rule_1_accuracy4min_val_loss,rule_2_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,finished4min_val_loss,ood_rule_1_accuracy4min_val_loss,ood_rule_2_completion_accuracy4min_val_loss,ood_rule_2_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,ood_finished4min_val_loss,sos_rule_1_accuracy4min_val_loss,sos_rule_2_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss,sos_finished4min_val_loss
0,easy-sweep-24,58999,8,300,0.002,False,256,128,linear,10,5,1024,5,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,7.360662773736593e-11,434,0.5263482332229614,26,0.015281407162547112,23,-0.02262508124113083,23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0
1,clear-sweep-23,37115,8,300,0.002,False,256,128,linear,10,5,1024,5,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,5.7161008565342897e-11,494,0.49105513095855713,27,0.020112043246626854,22,-0.017794445157051086,22,0.5,1.0,0.5,1.0,0.5,0.0,0,0,1.0,1,0,0,1
2,astral-sweep-20,23688,8,300,0.002,False,256,128,linear,10,5,1024,5,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,1.6367081301371655e-10,377,0.4902495741844177,35,0.017816372215747833,24,-0.02009011246263981,24,0.5,1.0,0.5,1.0,0.5,0.0,0,0,1.0,1,0,0,1
3,quiet-sweep-19,89388,8,300,0.002,False,256,128,lstm,10,5,1024,5,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.025738080963492393,465,0.8691406846046448,3,0.2787441313266754,3,0.24083764851093292,3,0.9609375,1.0,0.9609375,1.0,0.6000000238418579,0.4000000059604645,0,0,1.0,1,1,1,1
4,divine-sweep-18,35149,8,300,0.002,False,256,128,transformer,10,5,1024,5,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.22884413599967957,243,0.8679246306419373,0,0.2771233022212982,8,0.23921680450439453,8,1.0,1.0,1.0,0.0078125,0.6666666865348816,1.0,0,0,0.0703125,0,0,0,0
5,still-sweep-16,2570,8,300,0.002,False,256,128,lstm,10,5,1024,5,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.025993922725319862,488,0.8644212484359741,1,0.2878740727901459,3,0.2499675750732422,3,0.9448819160461426,1.0,0.9448819160461426,1.0,0.626086950302124,0.625,0,0,1.0,1,1,1,1
6,jumping-sweep-15,7332,8,300,0.002,False,256,128,linear,10,5,1024,5,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,1.916205666363524e-10,470,0.5237414836883545,30,0.018041113391518593,24,-0.019865375012159348,24,0.5,1.0,0.5,1.0,0.5,0.0,0,0,1.0,1,0,0,1
7,skilled-sweep-14,87046,8,300,0.002,False,256,128,lstm,10,5,1024,5,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.027415810152888298,495,0.8679702877998352,3,0.2805217206478119,3,0.2426152378320694,3,0.9520000219345093,1.0,0.9520000219345093,1.0,0.5669291019439697,0.5396825671195984,0,0,1.0,1,1,1,1
8,youthful-sweep-13,75921,8,300,0.002,False,256,128,linear,10,5,1024,5,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,2.2818084921549797e-10,369,0.48679929971694946,33,0.03228400647640228,27,-0.0056224786676466465,27,0.5,1.0,0.5,1.0,0.5,0.0,0,0,1.0,1,0,0,1
9,brisk-sweep-24,91049,8,300,0.002,False,256,128,transformer,10,5,1024,5,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.23500461876392365,203,0.8677726984024048,0,0.27707746624946594,4,0.23917098343372345,4,0.0,1.0,0.0,0.0703125,0.75,0.6666666865348816,0,0,0.078125,0,0,0,0
