,name,seed_everything,test_prompt_length,max_pred_length,lr,adversarial_training,max_length,batch_size,model,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,layer_norm_eps,lstm_embedding_dim,lstm_hidden_dim,lstm_num_layers,lstm_dropout,linear_embedding_dim,linear_bias,linear_dim,mamba_d_model,mamba_d_state,mamba_d_conv,mamba_n_layers,min_train_loss,min_train_loss_step,max_val_accuracy,max_val_accuracy_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,rule_1_accuracy4min_val_loss,rule_2_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,finished4min_val_loss,ood_rule_1_accuracy4min_val_loss,ood_rule_2_completion_accuracy4min_val_loss,ood_rule_2_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,ood_finished4min_val_loss,sos_rule_1_accuracy4min_val_loss,sos_rule_2_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss,sos_finished4min_val_loss
0,decent-sweep-26,50441,8,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.037826988846063614,485,0.9923926591873169,0,0.03912246972322464,6,0.0012159822508692741,6,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0
1,jolly-sweep-25,74720,8,300,0.002,False,256,128,lstm,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.035028088837862015,350,0.9925522804260254,5,0.03636921942234039,18,-0.0015372661873698235,18,1.0,1.0,1.0,1.0,1.0,0,0,0,1.0,1,1,1,1
2,rural-sweep-16,62979,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,1.410672828550119e-10,167,0.5147282481193542,0,6.489658588293423e-09,11,-0.037906479090452194,11,0.3984375,1.0,0.3984375,1.0,0.5,0,0,0,1.0,1,0,0,1
3,valiant-sweep-12,49583,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,1.3315339109087887e-10,261,0.48065873980522156,8,4.2119333443224605e-07,12,-0.037906065583229065,12,0.46875,1.0,0.46875,1.0,0.5234375,0,0,0,1.0,1,0,0,1
4,effortless-sweep-15,15646,8,300,0.002,False,256,128,lstm,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.034631043672561646,91,0.9924078583717346,15,0.0368642695248127,8,-0.001042218878865242,8,1.0,1.0,1.0,1.0,1.0,0,0,0,1.0,1,1,1,1
5,royal-sweep-14,1061,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,6.07521810636058e-11,483,0.5087244510650635,0,3.511464819894172e-05,3,-0.03787137195467949,3,0.3671875,1.0,0.3671875,1.0,0.453125,0,0,0,1.0,1,0,0,1
6,happy-sweep-3,20810,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,1.4850112806108484e-10,477,0.5083292722702026,0,7.883399888442e-08,17,-0.03790640830993652,17,0.4453125,1.0,0.4453125,1.0,0.5,0,0,0,1.0,1,0,0,1
7,vibrant-sweep-5,97390,8,300,0.002,False,256,128,lstm,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.03471125289797783,453,0.9923926591873169,25,0.03672896698117256,4,-0.0011775186285376549,4,1.0,1.0,1.0,1.0,1.0,0,0,0,1.0,0,0,0,0
8,volcanic-sweep-2,22977,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,1.7246278016802563e-10,262,0.5045978426933289,1,6.078826775279822e-09,16,-0.037906479090452194,16,0.4140625,1.0,0.4140625,1.0,0.484375,0,0,0,1.0,1,0,0,1
9,scarlet-sweep-9,15005,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,1.8828998082920378e-10,289,0.5356350541114807,0,1.127625282038025e-07,26,-0.03790637105703354,26,0.421875,1.0,0.421875,1.0,0.5390625,0,0,0,1.0,1,0,0,1
10,scarlet-sweep-4,89676,8,300,0.002,False,256,128,lstm,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.03454156592488289,242,0.9924991130828857,4,0.036899715662002563,9,-0.0010067690163850784,9,1.0,1.0,1.0,1.0,1.0,0,0,0,1.0,0,0,0,0
11,classic-sweep-8,73653,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,1.4969202266623682e-10,176,0.4805523753166199,0,4.749467308329258e-08,11,-0.03790643811225891,11,0.4140625,1.0,0.4140625,1.0,0.4609375,0,0,0,1.0,1,0,0,1
12,devout-sweep-1,60322,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,7.12595329965815e-11,183,0.5051602125167847,0,1.9463479475234635e-05,26,-0.03788702189922333,26,0.4921875,1.0,0.4921875,1.0,0.53125,0,0,0,1.0,1,0,0,1
