,name,seed_everything,test_prompt_length,max_pred_length,lr,adversarial_training,max_length,batch_size,model,optimizer,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,layer_norm_eps,lstm_embedding_dim,lstm_hidden_dim,lstm_num_layers,lstm_dropout,xlstm_embedding_dim,xlstm_num_blocks,linear_embedding_dim,linear_bias,linear_dim,mamba_d_model,mamba_d_state,mamba_d_conv,mamba_n_layers,min_train_loss,min_train_loss_step,max_val_accuracy,max_val_accuracy_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,rule_1_accuracy4min_val_loss,rule_3_accuracy4min_val_loss,rule_2_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,finished4min_val_loss,ood_rule_1_accuracy4min_val_loss,ood_rule_3_accuracy4min_val_loss,ood_rule_2_completion_accuracy4min_val_loss,ood_rule_2_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,ood_finished4min_val_loss,sos_rule_1_accuracy4min_val_loss,sos_rule_3_accuracy4min_val_loss,sos_rule_2_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss,sos_finished4min_val_loss
0,trim-sweep-91,63906,8,300,0.002,False,256,128,mamba,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,128,7,0.03623505309224129,490,0.358767032623291,3,0.037424236536026,2,-0.00048224814236164093,2,0.94140625,0,0.970703125,0.912109375,1.0,0.6328125,0,0.07421875,0,0,1.0,0.94140625,0,0.29296875,0.287109375,1.0
1,bumbling-sweep-90,76826,8,300,0.002,False,256,128,linear,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,128,7,6.384207051901569e-10,305,0.5990849733352661,2,4.48892879486084,0,-0.0379064679145813,3,0.55078125,0,0.9275805950164795,0.3737850785255432,1.0,0.623046875,0,0.216796875,0,0,1.0,0.81640625,0,0.2406957447528839,0.18199434876441956,1.0
2,serene-sweep-89,4458,8,300,0.002,False,256,128,mamba,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,128,7,0.03609825670719147,360,0.396484375,3,0.03763516992330551,2,-0.0002713175490498543,2,0.998046875,0,0.9848467111587524,0.974609375,1.0,0.603515625,0,0.08984375,0,0,1.0,0.90234375,0,0.166015625,0.16015625,1.0
3,mild-sweep-88,14222,8,300,0.002,False,256,128,transformer,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,128,7,0.037581171840429306,418,0.5818260908126831,2,0.03932129964232445,3,0.0014148149639368057,3,0.6796875,0,1.0,0.494140625,1.0,0.685546875,0,0.26953125,0,0,1.0,0.7421875,0,0.33984375,0.234375,1.0
4,firm-sweep-87,78768,8,300,0.002,False,256,128,linear,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,128,7,5.846197415060317e-10,462,0.5658818483352661,2,5.212101936340332,0,-0.037906464189291,3,0.556640625,0,0.9745786190032959,0.34639519453048706,1.0,0.58203125,0,0.21484375,0,0,1.0,0.8982837200164795,0,0.21875,0.173828125,1.0
5,wise-sweep-85,62107,8,300,0.002,False,256,128,transformer,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,128,7,0.038568273186683655,355,0.5761186480522156,2,0.03938908129930496,5,0.0014825938269495964,5,0.625,0,0.998046875,0.4921875,1.0,0.662109375,0,0.16796875,0,0,1.0,0.787109375,0,0.33984375,0.2421875,1.0
6,bumbling-sweep-83,8868,8,300,0.002,False,256,128,lstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,128,7,0.03581620007753372,408,0.5673637986183167,2,0.036403194069862366,3,-0.0015032915398478508,3,0.986328125,0,1.0,0.986328125,1.0,0.9921875,0,0.005874753929674625,0,0,1.0,0.78515625,0,0.234375,0.203125,1.0
7,dandy-sweep-82,51667,8,300,0.002,False,256,128,transformer,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,128,7,0.037733230739831924,302,0.5640503764152527,2,0.03923845291137695,3,0.001331966370344162,3,0.57421875,0,0.998046875,0.55078125,1.0,0.6171875,0,0.1484375,0,0,1.0,0.734375,0,0.333984375,0.2421875,1.0
8,fanciful-sweep-78,83556,8,300,0.002,False,256,128,mamba,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,128,7,0.03660197556018829,439,0.33798182010650635,2,0.03739391639828682,2,-0.0005125710740685463,2,0.994140625,0,0.91796875,0.912109375,1.0,0.6607148051261902,0,0.4878997504711151,0,0,1.0,0.8956692814826965,0,0.146484375,0.126953125,1.0
9,elated-sweep-76,1378,8,300,0.002,False,256,128,linear,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,128,7,6.254421980322888e-10,370,0.5974358320236206,2,4.818703651428223,0,-0.03790615499019623,4,0.6450694799423218,0,0.9115744829177856,0.42087244987487793,0.99609375,0.646484375,0,0.318359375,0,0,1.0,0.8337229490280151,0,0.2668188810348511,0.2114488184452057,1.0
