,name,seed_everything,test_prompt_length,max_pred_length,lr,adversarial_training,max_length,batch_size,model,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,layer_norm_eps,lstm_embedding_dim,lstm_hidden_dim,lstm_num_layers,lstm_dropout,linear_embedding_dim,linear_bias,linear_dim,mamba_d_model,mamba_d_state,mamba_d_conv,mamba_n_layers,min_train_loss,min_train_loss_step,max_val_accuracy,max_val_accuracy_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,rule_1_accuracy4min_val_loss,rule_2_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,finished4min_val_loss,ood_rule_1_accuracy4min_val_loss,ood_rule_2_completion_accuracy4min_val_loss,ood_rule_2_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,ood_finished4min_val_loss,sos_rule_1_accuracy4min_val_loss,sos_rule_2_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss,sos_finished4min_val_loss
0,scarlet-sweep-22,57527,8,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.03780882805585861,421,0.9924002885818481,0,0.0392911359667778,5,0.0013846466317772865,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0
1,stoic-sweep-21,99137,8,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.03614046424627304,251,0.9923622608184814,4,0.0379713773727417,3,6.489269435405731e-05,3,0.828125,1.0,0.828125,1.0,0.8515625,0.0,0,0,1.0,1,1,1,1
2,rich-sweep-20,37031,8,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.03560808673501015,467,0.9923850893974304,18,0.037606317549943924,3,-0.0003001699224114418,3,1.0,1.0,1.0,1.0,0.9999999403953552,0.0,0,0,1.0,1,1,1,1
3,glamorous-sweep-19,16496,8,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.03538166359066963,418,0.9924231171607971,24,0.03750137984752655,12,-0.0004051085561513901,12,0.8828125,1.0,0.8828125,1.0,1.0,0.171875,0,0,1.0,1,1,1,1
4,swift-sweep-18,92272,8,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.03575802966952324,258,0.9924687147140503,9,0.03769110143184662,14,-0.00021538324654102325,14,0.9375,1.0,0.9375,1.0,1.0,0.29411765933036804,0,0,1.0,1,1,1,1
5,good-sweep-17,16763,8,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.03498349338769913,480,0.9923622608184814,3,0.03778524324297905,3,-0.00012124329805374146,3,0.859375,1.0,0.859375,1.0,1.0,0.0,0,0,1.0,1,1,1,1
6,lemon-sweep-16,40004,8,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.035293642431497574,490,0.9924155473709106,2,0.037830937653779984,4,-7.5547955930233e-05,4,0.7578125,1.0,0.7578125,1.0,0.796875,0.0,0,0,1.0,1,1,1,1
7,winter-sweep-15,69189,8,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.038295794278383255,146,0.9923242330551147,0,0.03955630585551262,2,0.0016498211771249771,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0
8,fallen-sweep-14,1740,8,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.038243699818849564,65,0.9923926591873169,0,0.039324551820755005,3,0.0014180643483996391,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0
9,distinctive-sweep-13,98538,8,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.037833016365766525,335,0.992354691028595,0,0.03916313871741295,33,0.0012566521763801575,33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0
10,glorious-sweep-12,90044,8,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.03567374125123024,449,0.9924306869506836,3,0.03794832527637482,9,4.184059798717499e-05,9,1.0,1.0,1.0,1.0,1.0,0.3125,0,0,1.0,1,1,1,1
11,fallen-sweep-14,1740,8,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.038243699818849564,65,0.9923926591873169,0,0.039324551820755005,3,0.0014180643483996391,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0
12,dry-sweep-10,10250,8,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.03842362388968468,286,0.9924079179763794,0,0.038965512067079544,20,0.0010590236634016037,20,1.0,1.0,1.0,0.0859375,0.02500000037252903,0.0,0,0,0.3125,0,0,0,0
13,comfy-sweep-8,28480,8,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.03536331653594971,487,0.9924230575561523,18,0.037455737590789795,2,-0.00045074988156557083,2,1.0,1.0,1.0,1.0,1.0,0.0,0,0,1.0,1,1,1,1
14,fragrant-sweep-9,31391,8,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.038211558014154434,311,0.9923774600028992,0,0.038936715573072433,47,0.0010302290320396423,47,0.7421875,1.0,0.7421875,1.0,0.7109375,0.0,0,0,1.0,0,0,0,0
15,pleasant-sweep-7,13995,8,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.03815557435154915,169,0.9924306869506836,0,0.03907670080661774,37,0.0011702151969075203,37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0
16,restful-sweep-6,37041,8,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.03793887048959732,44,0.9924002885818481,0,0.03949097543954849,3,0.0015844916924834251,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0
17,stilted-sweep-5,24547,8,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.03582203760743141,480,0.9924078583717346,2,0.03749554231762886,25,-0.00041094329208135605,25,0.8359375,1.0,0.8359375,1.0,1.0,0.1015625,0,0,1.0,1,1,1,1
18,zany-sweep-1,87751,8,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.035296302288770676,425,0.9924079179763794,23,0.037780359387397766,7,-0.0001261252909898758,7,0.7890625,1.0,0.7890625,1.0,1.0,0.0,0,0,1.0,1,1,1,1
19,vague-sweep-2,70829,8,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.03391901031136513,199,0.9924230575561523,4,0.03764869645237923,22,-0.0002577919512987137,22,0.921875,1.0,0.921875,1.0,0.859375,0.0,0,0,1.0,1,1,1,1
