,name,seed_everything,test_prompt_length,max_pred_length,lr,adversarial_training,max_length,batch_size,model,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,layer_norm_eps,lstm_embedding_dim,lstm_hidden_dim,lstm_num_layers,lstm_dropout,linear_embedding_dim,linear_bias,linear_dim,mamba_d_model,mamba_d_state,mamba_d_conv,mamba_n_layers,min_train_loss,min_train_loss_step,max_val_accuracy,max_val_accuracy_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,rule_1_accuracy4min_val_loss,rule_2_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,finished4min_val_loss,ood_rule_1_accuracy4min_val_loss,ood_rule_2_completion_accuracy4min_val_loss,ood_rule_2_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,ood_finished4min_val_loss,sos_rule_1_accuracy4min_val_loss,sos_rule_2_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss,sos_finished4min_val_loss
0,deep-sweep-10,18550,8,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.015923690050840378,459,0.840284526348114,1,0.282478004693985,0,0.2445715218782425,0,0.5,0.6803278923034668,0.35245901346206665,1.0,0.609375,0.53125,0,0,1.0,1,1,1,1
1,youthful-sweep-9,62864,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,3.3958942324829877e-09,499,0.202562615275383,24,1.0485516786575317,0,1.0106451511383057,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1,1,1,1
2,polar-sweep-8,96261,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,3.951688754000315e-09,494,0.19888436794281006,23,1.0897607803344727,0,1.051854133605957,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1,1,1,1
3,denim-sweep-7,81633,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,4.67305927287498e-09,498,0.20675766468048096,23,0.9997375011444092,0,0.9618310332298279,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1,1,1,1
4,usual-sweep-6,69034,8,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.015925707295536995,292,0.8399957418441772,10,0.28165173530578613,0,0.24374523758888245,0,0.984375,0.9375,0.921875,1.0,0.828125,0.90625,0,0,1.0,1,1,1,1
5,celestial-sweep-5,43949,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,3.927437486339613e-09,495,0.20826999843120575,24,1.0899068117141724,0,1.0520002841949463,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1,1,1,1
6,blooming-sweep-4,60706,8,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.017071278765797615,387,0.8497841358184814,1,0.26063716411590576,1,0.22273071110248566,1,0.875,0.828125,0.8125,1.0,0.8984375,0.7421875,0,0,1.0,1,1,1,1
7,good-sweep-3,3597,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,4.512195062034152e-09,496,0.20028270781040192,24,1.0543428659439087,0,1.0164363384246826,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1,1,1,1
8,jolly-sweep-2,90825,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,4.234363082389336e-09,499,0.1824081987142563,25,1.0349465608596802,0,0.9970400333404541,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1,1,1,1
9,astral-sweep-1,5255,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,3.7019971532714635e-09,499,0.2013314664363861,25,1.0545411109924316,0,1.0166345834732056,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1,1,1,1
