,name,seed_everything,test_prompt_length,max_pred_length,lr,adversarial_training,max_length,batch_size,model,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,layer_norm_eps,lstm_embedding_dim,lstm_hidden_dim,lstm_num_layers,lstm_dropout,linear_embedding_dim,linear_bias,linear_dim,mamba_d_model,mamba_d_state,mamba_d_conv,mamba_n_layers,min_train_loss,min_train_loss_step,max_val_accuracy,max_val_accuracy_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,rule_1_accuracy4min_val_loss,rule_2_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,finished4min_val_loss,ood_rule_1_accuracy4min_val_loss,ood_rule_2_completion_accuracy4min_val_loss,ood_rule_2_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,ood_finished4min_val_loss,sos_rule_1_accuracy4min_val_loss,sos_rule_2_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss,sos_finished4min_val_loss
0,pretty-sweep-35,27142,8,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,0.9673859477043152,246,0.11289366334676743,9,1.0332505702972412,7,0.9953439831733704,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1,smart-sweep-34,81263,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,7.401951734209433e-05,118,0.180249884724617,5,1.0345245599746704,0,0.9966180920600891,0,1.0,1.0,1.0,1.0,0.6015625,0.328125,0.3984375,0,1.0,1.0,1.0,1.0,1.0
2,ethereal-sweep-33,12404,8,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,0.05731740966439247,76,0.8430660367012024,1,1.0506560802459717,0,1.012749433517456,0,0.6851851940155029,0.6296296119689941,0.37962964177131653,0.84375,0.38532111048698425,0.2110091745853424,0.3669724762439728,0,0.8515625,1.0,0.0,0.0,1.0
3,fresh-sweep-32,36089,8,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,0.060270555317401886,80,0.8366062641143799,1,1.0563991069793701,1,1.018492579460144,1,0.921875,0.9375,0.890625,1.0,0.4921875,0.234375,0.4609375,0,1.0,0.0,0.0,0.0,1.0
4,dutiful-sweep-31,90140,8,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,0.0638854131102562,114,0.8354890942573547,1,1.0634469985961914,0,1.0255404710769653,0,0.4453125,0.53125,0.109375,1.0,0.17886178195476532,0.13821138441562653,0.39024388790130615,0,0.9609375,1.0,1.0,1.0,1.0
5,feasible-sweep-30,53764,8,300,0.002,False,256,128,lstm,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,0.35672032833099365,139,0.09718506783246994,6,1.1847286224365234,1,1.1468220949172974,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
6,spring-sweep-29,20698,8,300,0.002,False,256,128,lstm,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,0.1770389974117279,159,0.09940418601036072,2,1.1769059896469116,2,1.138999342918396,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
7,sage-sweep-28,96424,8,300,0.002,False,256,128,lstm,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,0.32674640417099,158,0.09862901270389557,2,1.1805698871612549,2,1.1426633596420288,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
8,sandy-sweep-26,33696,8,300,0.002,False,256,128,lstm,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,0.5325347781181335,159,0.10288485139608383,5,1.1824089288711548,2,1.1445022821426392,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
9,firm-sweep-27,43895,8,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,0.05860285088419914,72,0.839988112449646,1,1.0698609352111816,0,1.0319544076919556,0,1.0,0.478723406791687,0.478723406791687,0.734375,0.40776699781417847,0.19417475163936615,0.3203883469104767,0,0.8046875,0.0,0.0,0.0,0.0
10,trim-sweep-18,37823,8,300,0.002,False,256,128,lstm,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,0.12989076972007751,154,0.6995075345039368,2,1.1842013597488403,2,1.1462948322296143,2,1.0,1.0,1.0,1.0,0.5546875,0.2890625,0.4453125,0,1.0,0.0,0.0,0.0,0.0
11,faithful-sweep-17,2055,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,0.00010091474541695789,117,0.18370774388313293,5,1.00347101688385,0,0.9655645489692688,0,1.0,1.0,1.0,1.0,0.59375,0.28125,0.40625,0,1.0,1.0,1.0,1.0,1.0
12,pretty-sweep-16,20081,8,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,0.9790716171264648,225,0.10692029446363449,10,1.0167902708053589,6,0.9788838028907776,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.359375
13,warm-sweep-15,26181,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,9.18924852157943e-05,119,0.162109375,5,1.051133394241333,0,1.013226866722107,0,1.0,1.0,1.0,1.0,0.5390625,0.21875,0.4609375,0,1.0,1.0,1.0,1.0,1.0
14,super-sweep-14,27380,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,0.00010116834164364263,116,0.19733402132987976,5,1.0490424633026123,0,1.0111359357833862,0,1.0,1.0,1.0,1.0,0.53125,0.2890625,0.46875,0,1.0,1.0,1.0,1.0,1.0
15,smart-sweep-13,272,8,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,15,0.9744039177894592,248,0.12538757920265198,8,1.0224189758300781,7,0.984512448310852,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
