,name,seed_everything,test_prompt_length,max_pred_length,lr,adversarial_training,max_length,batch_size,model,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,layer_norm_eps,lstm_embedding_dim,lstm_hidden_dim,lstm_num_layers,lstm_dropout,linear_embedding_dim,linear_bias,linear_dim,mamba_d_model,mamba_d_state,mamba_d_conv,mamba_n_layers,min_train_loss,min_train_loss_step,max_val_accuracy,max_val_accuracy_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,rule_1_accuracy4min_val_loss,rule_2_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,finished4min_val_loss,ood_rule_1_accuracy4min_val_loss,ood_rule_2_completion_accuracy4min_val_loss,ood_rule_2_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,ood_finished4min_val_loss,sos_rule_1_accuracy4min_val_loss,sos_rule_2_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss,sos_finished4min_val_loss
0,revived-sweep-154,95716,6,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.16495957970619202,434,0.8605149388313293,15,0.2508351504802704,15,0.2129286378622055,15,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0
1,dutiful-sweep-153,5242,6,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.017040833830833435,358,0.8529456853866577,1,0.2548968195915222,0,0.21699035167694092,0,0.5483871102333069,0.6666666865348816,0.25806450843811035,1.0,0.34375,0.96875,0,0,1.0,1.0,1.0,1.0,1.0
2,unique-sweep-152,50816,6,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.16508397459983826,378,0.8437727689743042,9,0.2790881395339966,6,0.2411816418170929,6,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0
3,pleasant-sweep-150,14493,6,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.016116483137011528,193,0.835162341594696,1,0.29003649950027466,0,0.25213000178337097,0,0.46875,0.5625,0.125,1.0,0.32258063554763794,1.0,0,0,1.0,1.0,1.0,1.0,1.0
4,hopeful-sweep-148,7679,6,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.21532008051872253,385,0.8463946580886841,42,0.2719953656196594,18,0.23408889770507812,18,1.0,0.4000000059604645,0.4000000059604645,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0
5,laced-sweep-147,76038,6,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.01570667140185833,346,0.8409532904624939,1,0.2728462219238281,0,0.23493972420692444,0,0.5862069129943848,0.4838709533214569,0.4615384638309479,1.0,0.71875,0.4375,0,0,1.0,1.0,1.0,1.0,1.0
6,visionary-sweep-143,58146,6,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.217915877699852,450,0.837259829044342,18,0.28976595401763916,10,0.2518594563007355,10,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0
7,exalted-sweep-142,28748,6,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.17386840283870697,210,0.8431951999664307,7,0.27919650077819824,7,0.24129003286361694,7,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0
8,laced-sweep-141,53682,6,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.015639496967196465,397,0.8487809896469116,1,0.26597604155540466,0,0.22806955873966217,0,0.875,0.7931034564971924,0.40625,1.0,0.65625,0.75,0,0,1.0,1.0,1.0,1.0,1.0
9,robust-sweep-140,54784,6,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.016196217387914658,362,0.8501489758491516,1,0.264089971780777,0,0.22618348896503448,0,0.8125,0.7037037014961243,0.375,1.0,0.78125,1.0,0,0,1.0,1.0,1.0,1.0,1.0
10,peachy-sweep-138,82263,6,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,4.061926794918236e-09,487,0.20051069557666779,24,1.0154900550842285,0,0.9775835871696472,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
11,major-sweep-137,76813,6,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,4.614080229004003e-09,499,0.1840573251247406,24,1.1542211771011353,0,1.1163146495819092,0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0
12,giddy-sweep-136,25484,6,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.01604798436164856,322,0.8554534912109375,1,0.25531116127967834,4,0.21740467846393585,4,0.6875,0.5666666626930237,0.3214285671710968,1.0,0.78125,0.9375,0,0,1.0,1.0,1.0,1.0,1.0
13,honest-sweep-135,63447,6,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.01540396735072136,405,0.8451711535453796,6,0.2704102694988251,0,0.2325037717819214,0,0.6875,0.6875,0.40625,1.0,0.875,0.84375,0,0,1.0,1.0,1.0,1.0,1.0
14,fiery-sweep-134,45398,6,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.1801680326461792,464,0.8561451435089111,32,0.2567366063594818,19,0.21883012354373932,19,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0
15,efficient-sweep-132,13954,6,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.19707746803760529,381,0.8353675603866577,57,0.2912558317184448,33,0.25334933400154114,33,1.0,1.0,1.0,1.0,0.5625,1.0,0,0,1.0,1.0,1.0,1.0,1.0
16,legendary-sweep-131,23326,6,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,3.967174588836997e-09,499,0.19622446596622467,23,1.0715830326080322,0,1.0336766242980957,0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0
17,northern-sweep-130,82405,6,300,0.002,False,256,128,lstm,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.016922272741794586,483,0.8366974592208862,4,0.29036498069763184,4,0.25245851278305054,4,1.0,1.0,1.0,1.0,0.09375,1.0,0,0,1.0,1.0,1.0,1.0,1.0
18,fresh-sweep-129,60197,6,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.015746820718050003,486,0.8262099027633667,1,0.3033522963523865,0,0.2654457986354828,0,0.53125,0.5806451439857483,0.29629629850387573,1.0,0.75,0.875,0,0,1.0,1.0,1.0,1.0,1.0
19,pretty-sweep-128,48102,6,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.015537822619080544,346,0.8355271816253662,1,0.29009467363357544,0,0.25218817591667175,0,0.71875,0.739130437374115,0.43478259444236755,1.0,0.78125,1.0,0,0,1.0,1.0,1.0,1.0,1.0
