,name,seed_everything,test_prompt_length,max_pred_length,lr,adversarial_training,max_length,batch_size,model,optimizer,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,layer_norm_eps,lstm_embedding_dim,lstm_hidden_dim,lstm_num_layers,lstm_dropout,xlstm_embedding_dim,xlstm_num_blocks,linear_embedding_dim,linear_bias,linear_dim,mamba_d_model,mamba_d_state,mamba_d_conv,mamba_n_layers,min_train_loss,min_train_loss_step,max_val_accuracy,max_val_accuracy_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,rule_1_accuracy4min_val_loss,rule_3_accuracy4min_val_loss,rule_2_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,finished4min_val_loss,ood_rule_1_accuracy4min_val_loss,ood_rule_3_accuracy4min_val_loss,ood_rule_2_completion_accuracy4min_val_loss,ood_rule_2_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,ood_finished4min_val_loss,sos_rule_1_accuracy4min_val_loss,sos_rule_3_accuracy4min_val_loss,sos_rule_2_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss,sos_finished4min_val_loss
0,fine-sweep-53,15799,8,300,0.002,False,256,128,transformer,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.02036297507584095,217,0.9961089491844177,18,0.02074880711734295,20,-0.017157679423689842,20,1.0,0,1,1.0,0.800000011920929,0.692307710647583,0,1.0,0.024390242993831635,0,0.4900398552417755,0.0,0,0,0,0.0
1,electric-sweep-54,97521,8,300,0.0002,False,256,128,lstm,sgd,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,1.098569393157959,498,0.4941634237766266,5,1.0950249433517456,199,1.0571184158325195,199,0.20000000298023224,0,1,0.20000000298023224,1.0,0.2749004065990448,0,1.0,0.01593625545501709,0,1.0,1.0,0,1,1,1.0
2,blooming-sweep-57,84475,8,300,0.0002,False,256,128,lstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.0193299800157547,357,0.9960785508155823,42,0.01906665414571762,79,-0.01883983239531517,79,1.0,0,1,1.0,1.0,0.48275861144065857,0,1.0,0.004608294926583767,0,0.9561753273010254,1.0,0,1,1,1.0
3,dulcet-sweep-56,54237,8,300,0.002,False,256,128,linear,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,1.1930819709959906e-05,129,0.5135274529457092,8,2.6028923988342285,0,-0.037894561886787415,25,0.20000000298023224,0,1,0.20000000298023224,1.0,0.2749004065990448,0,1.0,0.01593625545501709,0,1.0,1.0,0,1,1,1.0
4,pretty-sweep-58,8204,8,300,0.0002,False,256,128,lstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.019312525168061256,456,0.9960785508155823,93,0.019087310880422592,196,-0.0188191756606102,196,1.0,0,1,1.0,1.0,0.0,0,1.0,0.0,0,0.05179283022880554,1.0,0,1,1,1.0
5,deft-sweep-55,33681,8,300,0.002,False,256,128,linear,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,1.321679064858472e-05,129,0.505836546421051,1,2.451890707015991,0,-0.037893276661634445,25,0.20000000298023224,0,1,0.20000000298023224,1.0,0.2749004065990448,0,1.0,0.01593625545501709,0,1.0,1.0,0,1,1,1.0
6,efficient-sweep-59,35120,8,300,0.002,False,256,128,lstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.018818451091647148,280,0.9961393475532532,38,0.018886826932430267,199,-0.019019659608602524,199,1.0,0,1,1.0,1.0,0.44117647409439087,0,1.0,0.12903225421905518,0,0.7290836572647095,1.0,0,1,1,1.0
7,fluent-sweep-52,215,8,300,0.0002,False,256,128,transformer,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.02109619416296482,424,0.9937986135482788,74,0.024133780971169472,61,-0.01377270556986332,61,1.0,0,1,1.0,0.800000011920929,0.8833333849906921,0,1.0,0.125,0,0.4741035997867584,0.0,0,0,0,0.0
8,colorful-sweep-60,81132,8,300,0.0002,False,256,128,lstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.020192168653011322,379,0.9960785508155823,91,0.01957092434167862,79,-0.018335562199354172,79,1.0,0,1,1.0,0.800000011920929,0.0,0,1.0,0.0,0,0.043824702501297,0.0,0,0,0,0.0
9,lemon-sweep-51,63998,8,300,0.0002,False,256,128,transformer,sgd,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.19936227798461914,109,0.9883268475532532,2,0.17999760806560516,21,0.14209112524986267,21,0.0,0,0,0.0,0.0,0.5,0,1.0,0.0,0,0.49800798296928406,0.8082191944122314,0,0,0,0.5703125
