,name,seed_everything,test_prompt_length,max_pred_length,lr,adversarial_training,max_length,batch_size,model,optimizer,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,layer_norm_eps,lstm_embedding_dim,lstm_hidden_dim,lstm_num_layers,lstm_dropout,xlstm_embedding_dim,xlstm_num_blocks,linear_embedding_dim,linear_bias,linear_dim,mamba_d_model,mamba_d_state,mamba_d_conv,mamba_n_layers,min_train_loss,min_train_loss_step,max_val_accuracy,max_val_accuracy_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,rule_1_accuracy4min_val_loss,rule_3_accuracy4min_val_loss,rule_2_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,finished4min_val_loss,ood_rule_1_accuracy4min_val_loss,ood_rule_3_accuracy4min_val_loss,ood_rule_2_completion_accuracy4min_val_loss,ood_rule_2_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,ood_finished4min_val_loss,sos_rule_1_accuracy4min_val_loss,sos_rule_3_accuracy4min_val_loss,sos_rule_2_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss,sos_finished4min_val_loss
0,smart-sweep-30,85201,5,300,0.002,False,256,128,mamba,sgd,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.04456324130296707,499,0.9883726239204407,135,0.04470810294151306,148,0.00680161640048027,148,0.0,0,1.0,0.0,0.75,0.0,0,1.0,0.2380952537059784,0,0.6652719378471375,0,0,0,0,0
1,copper-sweep-29,7376,5,300,0.02,False,256,128,transformer,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.0563344731926918,6,0.9883268475532532,0,0.06836869567632675,0,0.03046220913529396,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0
2,curious-sweep-27,66519,5,300,0.02,False,256,128,linear,sgd,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.02276143804192543,129,0.505836546421051,20,1.6186449527740479,0,-0.015148417092859745,25,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0
3,royal-sweep-28,73583,5,300,0.002,False,256,128,transformer,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.020696016028523445,174,0.993270754814148,15,0.025727195665240288,13,-0.012179289013147354,13,1.0,0,1.0,1.0,0.75,0.25999999046325684,0,1.0,0.11999999731779099,0,0.29288703203201294,0,0,0,0,0
4,misunderstood-sweep-26,72996,5,300,0.02,False,256,128,transformer,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.03980487957596779,11,0.9884641766548157,1,0.04091634973883629,1,0.0030098631978034973,1,0.3333333432674408,0,1.0,0.3333333432674408,0.75,0.05970149487257004,0,1.0,0.1538461595773697,0,0.560669481754303,0,0,0,0,0
5,grateful-sweep-22,9736,5,300,0.0002,False,256,128,linear,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.0003344378783367574,129,0.505836546421051,2,1.7883833646774292,0,-0.037572216242551804,25,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0
6,ruby-sweep-21,66482,5,300,0.002,False,256,128,lstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.017204685136675835,368,0.9961546659469604,26,0.017297815531492233,76,-0.020608671009540558,76,1.0,0,1.0,1.0,1.0,0.06008583679795265,0,1.0,0.0758293867111206,0,0.9958158731460571,1,0,1,1,1
7,deep-sweep-25,6804,5,300,0.02,False,256,128,linear,sgd,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.02054619789123535,129,0.505836546421051,17,1.861880898475647,0,-0.017363373190164566,25,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0
8,light-sweep-23,3479,5,300,0.002,False,256,128,mamba,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.018233411014080048,63,0.996108889579773,15,0.019052710384130478,16,-0.018853776156902313,16,1.0,0,1.0,1.0,1.0,0.050209201872348785,0,1.0,0.10828026384115219,0,1.0,1,0,1,1,1
9,snowy-sweep-24,520,5,300,0.0002,False,256,128,lstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.019147945567965508,492,0.9959715604782104,135,0.018305769190192223,198,-0.01960071735084057,198,1.0,0,1.0,1.0,1.0,0.10204080492258072,0,1.0,0.06122449040412903,0,0.24267782270908356,1,0,1,1,1
10,rosy-sweep-19,9292,5,300,0.002,False,256,128,linear,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,1.218626039189985e-05,129,0.505836546421051,1,3.101646900177002,0,-0.03789430484175682,25,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0
11,fluent-sweep-20,48412,5,300,0.002,False,256,128,lstm,sgd,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.23068107664585114,498,0.9354085326194763,199,0.21722504496574402,199,0.17931856215000153,199,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0
