,name,seed_everything,test_prompt_length,max_pred_length,lr,adversarial_training,max_length,batch_size,model,optimizer,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,layer_norm_eps,lstm_embedding_dim,lstm_hidden_dim,lstm_num_layers,lstm_dropout,xlstm_embedding_dim,xlstm_num_blocks,linear_embedding_dim,linear_bias,linear_dim,mamba_d_model,mamba_d_state,mamba_d_conv,mamba_n_layers,min_train_loss,min_train_loss_step,max_val_accuracy,max_val_accuracy_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,rule_1_accuracy4min_val_loss,rule_3_accuracy4min_val_loss,rule_2_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,finished4min_val_loss,ood_rule_1_accuracy4min_val_loss,ood_rule_3_accuracy4min_val_loss,ood_rule_2_completion_accuracy4min_val_loss,ood_rule_2_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,ood_finished4min_val_loss,sos_rule_1_accuracy4min_val_loss,sos_rule_3_accuracy4min_val_loss,sos_rule_2_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss,sos_finished4min_val_loss
0,vague-sweep-30,73633,8,300,0.02,False,256,128,mamba,sgd,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.03810359165072441,187,0.9924079179763794,0,0.03971100598573685,6,0.001804521307349205,6,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
1,sage-sweep-29,5139,8,300,0.02,False,256,128,transformer,sgd,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.039196696132421494,432,0.9924002885818481,0,0.04037921875715256,8,0.0024727322161197662,8,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
2,prime-sweep-25,12554,8,300,0.0002,False,256,128,linear,sgd,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.1650196611881256,480,0.4814339280128479,6,1.4190870523452759,0,0.13934247195720673,8,0.4609375,0,1,0.4609375,1,0.5,0,0,0,0,1,1,0,0,0,1
3,fiery-sweep-23,69321,8,300,0.02,False,256,128,transformer,sgd,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.03851119428873062,351,0.9923394918441772,0,0.04036075621843338,7,0.002454269677400589,7,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
4,giddy-sweep-19,7432,8,300,0.002,False,256,128,linear,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,6.922968309730493e-10,373,0.4969145357608795,2,5.298404693603516,0,-0.03790644556283951,3,0.4296875,0,1,0.4296875,1,0.4453125,0,0,0,0,1,1,0,0,0,1
5,true-sweep-27,10982,8,300,0.0002,False,256,128,linear,sgd,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.13199909031391144,483,0.5012083649635315,8,1.4051780700683594,0,0.10631228983402252,8,0.3984375,0,1,0.3984375,1,0.5078125,0,0,0,0,1,1,0,0,0,1
6,clear-sweep-18,45641,8,300,0.02,False,256,128,lstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.03491738438606262,262,0.9923546314239502,0,0.036764077842235565,0,-0.001142408698797226,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
7,ancient-sweep-22,24077,8,300,0.02,False,256,128,lstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.03599614277482033,169,0.9923698902130127,0,0.03670438379049301,1,-0.0012021027505397797,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
8,ethereal-sweep-28,72495,8,300,0.0002,False,256,128,mamba,sgd,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.09237673133611679,497,0.9884332418441772,6,0.09677386283874512,6,0.058867380023002625,6,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
9,bumbling-sweep-24,10191,8,300,0.02,False,256,128,mamba,sgd,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.03770866245031357,494,0.9923698902130127,0,0.03951893001794815,5,0.0016124453395605087,5,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
