,name,seed_everything,test_prompt_length,max_pred_length,lr,adversarial_training,max_length,batch_size,model,optimizer,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,layer_norm_eps,lstm_embedding_dim,lstm_hidden_dim,lstm_num_layers,lstm_dropout,xlstm_embedding_dim,xlstm_num_blocks,linear_embedding_dim,linear_bias,linear_dim,mamba_d_model,mamba_d_state,mamba_d_conv,mamba_n_layers,min_train_loss,min_train_loss_step,max_val_accuracy,max_val_accuracy_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,rule_1_accuracy4min_val_loss,rule_3_accuracy4min_val_loss,rule_2_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,finished4min_val_loss,ood_rule_1_accuracy4min_val_loss,ood_rule_3_accuracy4min_val_loss,ood_rule_2_completion_accuracy4min_val_loss,ood_rule_2_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,ood_finished4min_val_loss,sos_rule_1_accuracy4min_val_loss,sos_rule_3_accuracy4min_val_loss,sos_rule_2_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss,sos_finished4min_val_loss
0,jumping-sweep-101,5773,6,300,0.002,False,256,128,mamba,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.024445340037345886,499,0.646651566028595,7,0.666607141494751,7,0.6287006735801697,7,0.9629629850387573,0,0.9629629850387573,0.9629629850387573,1.0,0.7777777910232544,0,0.774193525314331,0,0,1.0,1.0,0,1.0,1.0,1.0
1,youthful-sweep-100,85813,6,300,0.0002,False,256,128,mamba,sgd,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.601825475692749,442,0.6352900266647339,171,0.7121431231498718,199,0.6742366552352905,199,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0
2,restful-sweep-99,60379,6,300,0.02,False,256,128,linear,sgd,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.014774041250348091,498,0.49287909269332886,25,2.0812344551086426,0,0.14887116849422455,25,0.0,0,0.0,0.0,1.0,0.0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0
3,playful-sweep-98,62729,6,300,0.02,False,256,128,mamba,sgd,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.5431473255157471,494,0.6422513127326965,189,0.668758749961853,193,0.6308523416519165,193,1.0,0,1.0,1.0,1.0,0.59375,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0
4,volcanic-sweep-97,60970,6,300,0.02,False,256,128,linear,sgd,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.015467141754925251,495,0.4898087978363037,25,2.3969995975494385,0,0.13974528014659882,25,0.0,0,0.0,0.0,1.0,0.0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0
5,peach-sweep-95,59042,6,300,0.02,False,256,128,mamba,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.09594207257032394,497,0.6496078968048096,0,0.6599150896072388,0,0.6220086216926575,0,0.21875,0,0.28125,0.125,1.0,1.0,0,1.0,0,0,1.0,1.0,0,1.0,0.0,1.0
6,twilight-sweep-96,94204,6,300,0.0002,False,256,128,linear,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,3.923849760667508e-07,496,0.3867795467376709,25,3.077286720275879,0,1.1291844844818115,2,0.0,0,0.0,0.0,1.0,0.0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0
7,polar-sweep-93,93641,6,300,0.0002,False,256,128,transformer,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.5671444535255432,231,0.6632189750671387,29,0.6270876526832581,98,0.5891811847686768,98,1.0,0,1.0,1.0,1.0,1.0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0
8,grateful-sweep-92,21963,6,300,0.002,False,256,128,mamba,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.02446255087852478,486,0.6523285508155823,2,0.658322811126709,1,0.6204162836074829,1,0.699999988079071,0,0.5,0.30000001192092896,1.0,0.84375,0,0.71875,0,0,1.0,1.0,0,1.0,1.0,1.0
9,revived-sweep-91,37087,6,300,0.0002,False,256,128,mamba,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.34398603439331055,497,0.6623905897140503,5,0.6314701437950134,5,0.5935636758804321,5,1.0,0,0.9375,0.90625,1.0,0.90625,0,0.7333333492279053,0,0,1.0,1.0,0,1.0,1.0,1.0
