,name,seed_everything,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,test_prompt_length,max_pred_length,lr,layer_norm_eps,adversarial_training,max_length,batch_size,max_val_accuracy,max_val_accuracy_step,min_train_loss,min_train_loss_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,as_before_bs_accuracy4min_val_loss,same_as_bs_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,ood_as_before_bs_accuracy4min_val_loss,ood_as_before_bs_completion_accuracy4min_val_loss,ood_same_as_bs_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,sos_as_before_bs_accuracy4min_val_loss,sos_same_as_bs_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss
0,northern-sweep-35,35730,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,31,0.019488994032144547,454,0.019608236849308014,478,-0.018298249691724777,478,1,1.0,1.0,0.00917431153357029,0.9999999403953552,0.4403669536113739,0,0,0,0
1,major-sweep-33,57779,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,92,0.019529061391949654,313,0.01982925459742546,245,-0.01807723194360733,245,1,1.0,1.0,0.010526316240429878,1.0,0.5368421077728271,0,0,0,0
2,desert-sweep-32,2198,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,18,0.02114371955394745,135,0.02083902806043625,56,-0.017067458480596542,56,1,1.0,1.0,0.017241379246115685,1.0,0.4482758641242981,0,0,0,0
3,faithful-sweep-31,77507,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.9949234127998352,60,0.0215184073895216,113,0.02140384539961815,60,-0.016502641141414642,60,1,1.0,1.0,0.017543859779834747,1.0,0.34210526943206787,0,0,0,0
4,robust-sweep-30,65196,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.9952881932258606,72,0.021411029621958733,157,0.021161673590540886,72,-0.016744812950491905,72,1,1.0,1.0,0.0,1.0,0.6292135119438171,0,0,0,0
5,twilight-sweep-29,93614,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.9957745671272278,43,0.021494466811418533,158,0.02191627398133278,41,-0.015990212559700012,41,1,1.0,1.0,0.008771929889917374,1.0,0.3684210479259491,0,0,0,0
6,celestial-sweep-27,58769,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,27,0.02150488644838333,149,0.020957285538315773,58,-0.016949201002717018,58,1,1.0,1.0,0.010526316240429878,1.0,0.4736842215061188,0,0,0,0
7,misunderstood-sweep-28,4202,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,13,0.02144375443458557,142,0.02132875844836235,66,-0.01657772809267044,66,1,1.0,1.0,0.024390242993831635,1.0,0.42276421189308167,0,0,0,0
8,spring-sweep-26,95130,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,11,0.021754955872893333,143,0.02162286452949047,73,-0.01628362201154232,73,1,1.0,1.0,0.010526316240429878,1.0,0.4526315927505493,0,0,0,0
9,curious-sweep-24,23726,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,61,0.021618856117129326,147,0.021226396784186363,61,-0.016680089756846428,61,1,1.0,1.0,0.01123595517128706,1.0,0.584269642829895,0,0,0,0
10,smooth-sweep-23,79719,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,28,0.023850994184613228,63,0.022383032366633415,28,-0.015523454174399376,28,1,1.0,1.0,0.03200000151991844,1.0,0.3680000305175781,0,0,0,0
11,bright-sweep-25,98923,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.9935554265975952,58,0.02128004841506481,128,0.022807249799370766,58,-0.015099236741662025,58,1,1.0,1.0,0.010638297535479069,1.0,0.5319148898124695,0,0,0,0
12,dry-sweep-22,57891,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,47,0.021902989596128464,133,0.021495651453733444,47,-0.016410835087299347,47,1,1.0,1.0,0.008849557489156723,1.0,0.3539822995662689,0,0,0,0
13,sunny-sweep-20,65823,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,26,0.02193182148039341,130,0.021884603425860405,53,-0.016021883115172386,53,1,1.0,1.0,0.010526316240429878,1.0,0.4526315927505493,0,0,0,0
14,devoted-sweep-21,30050,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.9960177540779114,50,0.022177647799253464,125,0.02126392349600792,50,-0.016642563045024872,50,1,1.0,1.0,0.018518518656492233,1.0,0.40740740299224854,0,0,0,0
15,divine-sweep-19,45384,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.995652973651886,73,0.021327482536435127,147,0.020640352740883827,73,-0.017266133800148964,73,1,1.0,1.0,0.010526316240429878,1.0,0.557894766330719,0,0,0,0
16,rose-sweep-18,42348,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.9951969981193542,28,0.021288562566041946,129,0.02167118526995182,28,-0.01623530127108097,28,1,1.0,1.0,0.008695651777088642,1.0,0.417391300201416,0,0,0,0
17,leafy-sweep-14,25711,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.9948322176933289,65,0.021594980731606483,158,0.021696576848626137,65,-0.016209909692406654,65,1,1.0,1.0,0.017241379246115685,1.0,0.4051724076271057,0,0,0,0
18,absurd-sweep-13,69959,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.9952881932258606,37,0.02233930677175522,97,0.021604731678962708,46,-0.016301754862070084,46,1,1.0,1.0,0.010101010091602802,1.0,0.4848484992980957,0,0,0,0
19,rose-sweep-15,63644,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,59,0.021617727354168892,147,0.020670320838689804,76,-0.017236165702342987,76,1,1.0,1.0,0.007092198356986046,0.9999999403953552,0.4822694957256317,0,0,0,0
20,worldly-sweep-17,57008,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.9955009818077087,69,0.021304959431290627,157,0.021222835406661034,69,-0.016683651134371758,69,1,1.0,1.0,0.010526316240429878,1.0,0.5052632093429565,0,0,0,0
21,exalted-sweep-16,38409,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.995318591594696,78,0.021114829927682877,156,0.02083035372197628,78,-0.01707613281905651,78,1,1.0,1.0,0.010989011265337467,1.0,0.5604395866394043,0,0,0,0
22,playful-sweep-12,53896,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.9955617785453796,60,0.021181810647249222,153,0.02113238163292408,61,-0.01677410490810871,61,1,1.0,1.0,0.009615384973585606,1.0,0.49038463830947876,0,0,0,0
23,polished-sweep-11,36571,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,51,0.021936606615781784,117,0.021501097828149796,57,-0.016405388712882996,57,1,1.0,1.0,0.025423727929592133,1.0,0.3644067943096161,0,0,0,0
24,polar-sweep-8,91767,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,17,0.021077273413538933,164,0.020393306389451027,77,-0.017513180151581764,77,1,1.0,1.0,0.009803921915590763,1.0,0.5098039507865906,0,0,0,0
25,woven-sweep-9,62443,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.9954705834388733,38,0.021905582398176193,138,0.021646032109856606,38,-0.016260454431176186,38,1,1.0,1.0,0.032786883413791656,1.0,0.37704914808273315,0,0,0,0
26,misunderstood-sweep-10,69552,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,37,0.021898208186030388,99,0.022978536784648895,37,-0.014927949756383896,37,1,1.0,1.0,0.02083333395421505,1.0,0.5416666865348816,0,0,0,0
27,legendary-sweep-7,88770,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,35,0.021145090460777283,156,0.020647212862968445,48,-0.017259273678064346,48,1,1.0,1.0,0.017241379246115685,1.0,0.42241379618644714,0,0,0,0
28,still-sweep-6,2662,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.9941025972366333,53,0.021205896511673927,163,0.023066790774464607,53,-0.014839695766568184,53,1,1.0,1.0,0.010526316240429878,1.0,0.5473684668540955,0,0,0,0
29,blooming-sweep-5,93483,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.9937986135482788,79,0.02102985605597496,159,0.023412974551320076,77,-0.014493511989712715,77,1,1.0,1.0,0.010526316240429878,1.0,0.5263158082962036,0,0,0,0
30,happy-sweep-3,13639,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,49,0.02096911147236824,153,0.020765773952007294,49,-0.017140712589025497,49,1,1.0,1.0,0.010526316240429878,1.0,0.42105263471603394,0,0,0,0
31,lyric-sweep-4,78310,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,33,0.021576732397079468,144,0.02212219312787056,69,-0.01578429341316223,69,1,1.0,1.0,0.017391303554177284,1.0,0.3391304314136505,0,0,0,0
32,tough-sweep-2,43813,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,37,0.021519970148801804,132,0.020431261509656906,59,-0.017475225031375885,59,1,1.0,1.0,0.010526316240429878,1.0,0.5052632093429565,0,0,0,0
33,driven-sweep-1,52192,10,5,1024,5,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,31,0.02127871848642826,163,0.020965196192264557,35,-0.016941290348768234,35,1,1.0,1.0,0.010526316240429878,1.0,0.43157896399497986,0,0,0,0
