,name,seed_everything,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,test_prompt_length,max_pred_length,lr,layer_norm_eps,adversarial_training,max_length,batch_size,max_val_accuracy,max_val_accuracy_step,min_train_loss,min_train_loss_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,as_before_bs_accuracy4min_val_loss,same_as_bs_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,ood_as_before_bs_accuracy4min_val_loss,ood_as_before_bs_completion_accuracy4min_val_loss,ood_same_as_bs_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,sos_as_before_bs_accuracy4min_val_loss,sos_same_as_bs_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss
0,smart-sweep-50,77366,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,115,0.021714551374316216,496,0.02135765552520752,190,-0.01654883101582527,190,1,1.0,1.0,0.017241379246115685,1.0,0.41379308700561523,0,0.0,0.0,0.0
1,revived-sweep-49,81753,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,162,0.021775269880890846,449,0.0211993008852005,301,-0.01670718565583229,301,1,1.0,1.0,0.0181818176060915,1.0,0.45454543828964233,0,0.0,0.0,0.0
2,honest-sweep-48,62275,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,82,0.022124437615275383,491,0.02127758413553238,325,-0.016628902405500412,325,1,1.0,1.0,0.015267175622284412,1.0,0.49618321657180786,0,0.0,0.0,0.0
3,glad-sweep-47,95839,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,56,0.022221190854907036,393,0.02111724205315113,326,-0.01678924448788166,326,1,1.0,1.0,0.03125,1.0,0.40625,0,0.0,0.0,0.0
4,sweepy-sweep-46,88756,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,106,0.02172321081161499,492,0.02114812098443508,229,-0.01675836555659771,229,1,1.0,1.0,0.017241379246115685,1.0,0.4396551847457886,0,0.0,0.0,0.0
5,flowing-sweep-45,73334,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,192,0.022195355966687202,499,0.021406935527920723,267,-0.016499551013112068,267,1,1.0,1.0,0.017094017937779427,1.0,0.4273504614830017,0,0.0,0.0,0.0
6,logical-sweep-44,46752,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,110,0.02164286933839321,466,0.02096872217953205,160,-0.01693776436150074,160,1,1.0,1.0,0.017241379246115685,1.0,0.42241379618644714,0,0.0,0.0,0.0
7,leafy-sweep-43,81737,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,97,0.02191537618637085,489,0.02118934877216816,228,-0.01671713776886463,228,1,1.0,1.0,0.024390242993831635,1.0,0.3658536374568939,0,0.0,0.0,0.0
8,clear-sweep-42,9357,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,53,0.02156405709683895,490,0.02073635347187519,180,-0.0171701330691576,180,1,1.0,1.0,0.008849557489156723,1.0,0.45132744312286377,0,0.0,0.0,0.0
9,fiery-sweep-41,14030,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,35,0.021655971184372902,402,0.02077792026102543,204,-0.017128566280007362,204,1,1.0,1.0,0.017241379246115685,1.0,0.37931033968925476,0,0.0,0.0,0.0
10,sunny-sweep-39,7036,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,139,0.022054055705666542,470,0.021268898621201515,267,-0.016637587919831276,267,1,1.0,1.0,0.010526316240429878,1.0,0.46315792202949524,0,0.0,0.0,0.0
11,lively-sweep-40,51476,8,4,1024,3,0.1,8,300,0.002,0.006,False,256,128,0.9961089491844177,115,0.02171233855187893,495,0.02041560597717762,346,-0.01749088056385517,346,1,1.0,1.0,0.016260161995887756,0.9999999403953552,0.4065040349960327,0,1.0,1.0,1.0
