,name,seed_everything,test_prompt_length,max_pred_length,lr,adversarial_training,max_length,batch_size,model,optimizer,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,layer_norm_eps,lstm_embedding_dim,lstm_hidden_dim,lstm_num_layers,lstm_dropout,xlstm_embedding_dim,xlstm_num_blocks,linear_embedding_dim,linear_bias,linear_dim,mamba_d_model,mamba_d_state,mamba_d_conv,mamba_n_layers,min_train_loss,min_train_loss_step,max_val_accuracy,max_val_accuracy_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,rule_1_accuracy4min_val_loss,rule_3_accuracy4min_val_loss,rule_2_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,finished4min_val_loss,ood_rule_1_accuracy4min_val_loss,ood_rule_3_accuracy4min_val_loss,ood_rule_2_completion_accuracy4min_val_loss,ood_rule_2_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,ood_finished4min_val_loss,sos_rule_1_accuracy4min_val_loss,sos_rule_3_accuracy4min_val_loss,sos_rule_2_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss,sos_finished4min_val_loss
0,peach-sweep-29,5748,8,300,0.002,False,256,128,transformer,adamw,10,5,1024,10,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.022824130952358246,71,0.9961089491844177,12,0.022339092567563057,13,-0.015567393973469734,13,1.0,0,1,1.0,0.800000011920929,0.8360655307769775,0,1.0,0.032258063554763794,0,0.4940239191055298,0,0,0,0,0
1,devoted-sweep-28,5748,8,300,0.002,False,256,128,transformer,adamw,10,10,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.01932390406727791,432,0.9961089491844177,30,0.01949077844619751,111,-0.01841570809483528,111,1.0,0,1,1.0,0.800000011920929,0.9041095972061157,0,1.0,0.032258063554763794,0,0.4940239191055298,0,0,0,0,0
2,sunny-sweep-27,982,8,300,0.002,False,256,128,transformer,adamw,10,5,1024,13,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.020673833787441254,171,0.9938898086547852,17,0.02417743019759655,20,-0.013729056343436241,20,1.0,0,1,1.0,0.800000011920929,0.5230769515037537,0,1.0,0.0416666679084301,0,0.4900398552417755,0,0,0,0,0
3,wild-sweep-26,982,8,300,0.002,False,256,128,transformer,adamw,10,10,1024,10,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.0193550493568182,409,0.9961089491844177,63,0.01937713846564293,63,-0.018529348075389862,63,1.0,0,1,1.0,0.800000011920929,0.9807692766189575,0,1.0,0.02521008625626564,0,0.4741035997867584,0,0,0,0,0
4,iconic-sweep-24,23567,8,300,0.002,False,256,128,transformer,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.019695667549967766,434,0.9961089491844177,70,0.019389986991882324,117,-0.018516499549150467,117,1.0,0,1,1.0,1.0,0.5473684668540955,0,1.0,0.03361344709992409,0,0.5537848472595215,0,0,0,0,0
5,comfy-sweep-25,64,8,300,0.002,False,256,128,transformer,adamw,10,10,1024,10,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.022058190777897835,145,0.9934946298599243,28,0.023978857323527336,21,-0.013927629217505455,21,1.0,0,1,1.0,0.800000011920929,0.483146071434021,0,1.0,0.0357142873108387,0,0.49800798296928406,0,0,0,0,0
6,feasible-sweep-23,5748,8,300,0.002,False,256,128,transformer,adamw,10,10,1024,10,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.019700510427355766,399,0.9961089491844177,17,0.02057122066617012,63,-0.01733526587486267,63,1.0,0,1,1.0,0.800000011920929,0.738095223903656,0,1.0,0.05882352963089943,0,0.4900398552417755,0,0,0,0,0
7,golden-sweep-22,42,8,300,0.002,False,256,128,transformer,adamw,10,5,1024,10,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.022210076451301575,182,0.9954705834388733,12,0.02447693981230259,12,-0.013429546728730202,12,1.0,0,1,1.0,0.800000011920929,0.38947370648384094,0,1.0,0.032258063554763794,0,0.4940239191055298,0,0,0,0,0
8,young-sweep-21,5748,8,300,0.002,False,256,128,transformer,adamw,10,5,1024,10,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.020616916939616203,277,0.9961089491844177,9,0.020898062735795975,37,-0.017008423805236816,37,1.0,0,1,1.0,0.800000011920929,0.8799999952316284,0,1.0,0.032258063554763794,0,0.4940239191055298,0,0,0,0,0
9,dry-sweep-17,23567,8,300,0.002,False,256,128,transformer,adamw,10,5,1024,13,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.027035409584641457,406,0.9926434755325317,73,0.03157753124833107,57,-0.006328955292701721,57,1.0,0,1,1.0,0.800000011920929,1.0,0,1.0,0.0,0,0.06772908568382263,0,0,0,0,0
