,name,seed_everything,test_prompt_length,max_pred_length,lr,adversarial_training,max_length,batch_size,model,optimizer,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,layer_norm_eps,lstm_embedding_dim,lstm_hidden_dim,lstm_num_layers,lstm_dropout,xlstm_embedding_dim,xlstm_num_blocks,linear_embedding_dim,linear_bias,linear_dim,mamba_d_model,mamba_d_state,mamba_d_conv,mamba_n_layers,min_train_loss,min_train_loss_step,max_val_accuracy,max_val_accuracy_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,rule_1_accuracy4min_val_loss,rule_3_accuracy4min_val_loss,rule_2_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,finished4min_val_loss,ood_rule_1_accuracy4min_val_loss,ood_rule_3_accuracy4min_val_loss,ood_rule_2_completion_accuracy4min_val_loss,ood_rule_2_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,ood_finished4min_val_loss,sos_rule_1_accuracy4min_val_loss,sos_rule_3_accuracy4min_val_loss,sos_rule_2_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss,sos_finished4min_val_loss
0,crimson-sweep-31,982,5,300,0.002,False,256,128,transformer,adamw,10,10,1024,13,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.02082846499979496,286,0.9934996366500854,39,0.024909425526857376,32,-0.012997059151530266,32,1.0,0,1,1.0,0.75,0.08695652335882187,0,1.0,0.11842106282711029,0,0.569037675857544,0,0,0,0,0
1,skilled-sweep-30,23567,5,300,0.002,False,256,128,transformer,adamw,10,5,1024,11,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.022324049845337868,142,0.992904543876648,16,0.025133509188890457,10,-0.012772978283464909,10,1.0,0,1,1.0,0.75,0.08235294371843338,0,1.0,0.26923078298568726,0,0.5313807725906372,0,0,0,0,0
2,playful-sweep-29,982,5,300,0.002,False,256,128,transformer,adamw,10,10,1024,13,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.02082846499979496,286,0.9934996366500854,39,0.024909431114792824,32,-0.012997053563594818,32,1.0,0,1,1.0,0.75,0.08695652335882187,0,1.0,0.11842106282711029,0,0.569037675857544,0,0,0,0,0
3,fallen-sweep-28,982,5,300,0.002,False,256,128,transformer,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.022850070148706436,165,0.9939574003219604,5,0.023675063624978065,12,-0.014231421984732151,12,1.0,0,1,1.0,0.75,0.1428571492433548,0,1.0,0.1265822798013687,0,0.6527196764945984,0,0,0,0,0
4,astral-sweep-27,64,5,300,0.002,False,256,128,transformer,adamw,10,10,1024,11,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.022475427016615868,307,0.9923094511032104,62,0.03916759788990021,42,0.0012611113488674164,42,0.3333333432674408,0,1,0.3333333432674408,0.75,0.08695652335882187,0,1.0,0.20000000298023224,0,0.5397489666938782,0,0,0,0,0
5,summer-sweep-26,64,5,300,0.002,False,256,128,transformer,adamw,10,10,1024,13,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.022625155746936798,250,0.992538332939148,32,0.026670018211007118,25,-0.011236468330025673,25,1.0,0,1,1.0,0.75,0.10112359374761581,0,1.0,0.1803278625011444,0,0.6150627732276917,0,0,0,0,0
6,effortless-sweep-25,982,5,300,0.002,False,256,128,transformer,adamw,10,10,1024,11,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.021579129621386528,171,0.9933165311813354,7,0.02422061562538147,10,-0.013685871846973896,10,1.0,0,1,1.0,0.75,0.125,0,1.0,0.125,0,0.4184100329875946,0,0,0,0,0
7,winter-sweep-24,5748,5,300,0.002,False,256,128,transformer,adamw,10,10,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.017846988514065742,414,0.996108889579773,39,0.017577245831489563,112,-0.020329240709543228,112,1.0,0,1,1.0,1.0,0.15454545617103577,0,1.0,0.08791209012269974,0,0.6359832882881165,1,0,1,1,1
8,bright-sweep-23,64,5,300,0.002,False,256,128,transformer,adamw,10,5,1024,13,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.06021086126565933,15,0.9892881512641907,1,0.06256528198719025,2,0.024658795446157455,2,0.3333333432674408,0,1,0.3333333432674408,0.75,0.06410256773233414,0,1.0,0.19230768084526062,0,0.4142259359359741,0,0,0,0,0
9,vibrant-sweep-22,982,5,300,0.002,False,256,128,transformer,adamw,10,10,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.019543379545211792,201,0.995834231376648,19,0.019914638251066208,19,-0.017991848289966583,19,1.0,0,1,1.0,0.75,0.0892857164144516,0,1.0,0.11450381577014923,0,0.5481171607971191,0,0,0,0,0
