,name,seed_everything,test_prompt_length,max_pred_length,lr,adversarial_training,max_length,batch_size,model,optimizer,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,layer_norm_eps,lstm_embedding_dim,lstm_hidden_dim,lstm_num_layers,lstm_dropout,xlstm_embedding_dim,xlstm_num_blocks,linear_embedding_dim,linear_bias,linear_dim,mamba_d_model,mamba_d_state,mamba_d_conv,mamba_n_layers,min_train_loss,min_train_loss_step,max_val_accuracy,max_val_accuracy_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,rule_1_accuracy4min_val_loss,rule_3_accuracy4min_val_loss,rule_2_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,finished4min_val_loss,ood_rule_1_accuracy4min_val_loss,ood_rule_3_accuracy4min_val_loss,ood_rule_2_completion_accuracy4min_val_loss,ood_rule_2_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,ood_finished4min_val_loss,sos_rule_1_accuracy4min_val_loss,sos_rule_3_accuracy4min_val_loss,sos_rule_2_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss,sos_finished4min_val_loss
0,dauntless-sweep-30,23567,8,300,0.002,False,256,128,transformer,adamw,10,10,1024,13,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.22303707897663116,32,0.8705009818077087,0,0.2725662589073181,0,0.23465977609157562,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0
1,eager-sweep-26,42,8,300,0.002,False,256,128,transformer,adamw,10,10,1024,13,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.24766117334365845,26,0.8694750070571899,0,0.2785496115684509,0,0.24064312875270844,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0
2,avid-sweep-25,23567,8,300,0.002,False,256,128,transformer,adamw,10,5,1024,13,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.24771736562252045,14,0.8705769181251526,0,0.2724311351776123,1,0.23452463746070862,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0
3,fluent-sweep-29,5748,8,300,0.002,False,256,128,transformer,adamw,10,10,1024,13,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.24429985880851746,20,0.869915783405304,0,0.27413585782051086,0,0.23622937500476837,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0
4,firm-sweep-24,5748,8,300,0.002,False,256,128,transformer,adamw,10,5,1024,13,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.23658785223960876,16,0.8699461817741394,0,0.27408963441848755,0,0.23618313670158386,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0
5,glorious-sweep-27,64,8,300,0.002,False,256,128,transformer,adamw,10,10,1024,13,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.24079187214374542,22,0.8686389923095703,0,0.2788938283920288,0,0.2409873604774475,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0
6,honest-sweep-28,982,8,300,0.002,False,256,128,transformer,adamw,10,10,1024,13,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.24468331038951874,15,0.864307165145874,0,0.27921298146247864,0,0.24130649864673615,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0
7,skilled-sweep-23,982,8,300,0.002,False,256,128,transformer,adamw,10,5,1024,13,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.2389877587556839,12,0.8640944361686707,0,0.27932316064834595,0,0.24141669273376465,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0
8,wobbly-sweep-22,64,8,300,0.002,False,256,128,transformer,adamw,10,5,1024,13,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.23899316787719727,40,0.8683350682258606,0,0.27883192896842957,0,0.24092544615268707,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0
9,drawn-sweep-15,23567,8,300,0.002,False,256,128,transformer,adamw,10,5,1024,10,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.22862765192985535,74,0.8706150054931641,0,0.2725255489349365,2,0.23461908102035522,2,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0
