,name,seed_everything,test_prompt_length,max_pred_length,lr,adversarial_training,max_length,batch_size,model,optimizer,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,layer_norm_eps,lstm_embedding_dim,lstm_hidden_dim,lstm_num_layers,lstm_dropout,xlstm_embedding_dim,xlstm_num_blocks,linear_embedding_dim,linear_bias,linear_dim,mamba_d_model,mamba_d_state,mamba_d_conv,mamba_n_layers,min_train_loss,min_train_loss_step,max_val_accuracy,max_val_accuracy_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,rule_1_accuracy4min_val_loss,rule_3_accuracy4min_val_loss,rule_2_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,finished4min_val_loss,ood_rule_1_accuracy4min_val_loss,ood_rule_3_accuracy4min_val_loss,ood_rule_2_completion_accuracy4min_val_loss,ood_rule_2_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,ood_finished4min_val_loss,sos_rule_1_accuracy4min_val_loss,sos_rule_3_accuracy4min_val_loss,sos_rule_2_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss,sos_finished4min_val_loss
0,morning-sweep-30,23567,8,300,0.002,False,256,128,transformer,adamw,10,10,1024,13,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.038632072508335114,50,0.9923698902130127,0,0.03970237821340561,1,0.001795891672372818,1,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0
1,blooming-sweep-29,5748,8,300,0.002,False,256,128,transformer,adamw,10,10,1024,13,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.039425358176231384,31,0.9923850297927856,0,0.03990935534238815,3,0.0020028678700327873,3,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0
2,charmed-sweep-27,64,8,300,0.002,False,256,128,transformer,adamw,10,10,1024,13,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.03905778005719185,39,0.9923850297927856,0,0.039585936814546585,1,0.0016794493421912193,1,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0
3,dashing-sweep-28,982,8,300,0.002,False,256,128,transformer,adamw,10,10,1024,13,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.03866998851299286,43,0.9923622608184814,0,0.039665356278419495,2,0.001758870668709278,2,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0
4,proud-sweep-23,982,8,300,0.002,False,256,128,transformer,adamw,10,5,1024,13,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.03910960629582405,29,0.9923622608184814,0,0.04001561924815178,3,0.0021091317757964134,3,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0
5,flowing-sweep-20,23567,8,300,0.002,False,256,128,transformer,adamw,10,10,1024,10,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.0386698879301548,48,0.9923698902130127,0,0.039430879056453705,2,0.001524391584098339,2,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0
6,usual-sweep-26,42,8,300,0.002,False,256,128,transformer,adamw,10,10,1024,13,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.03940361365675926,27,0.9924383163452148,0,0.04030220955610275,1,0.0023957230150699615,1,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0
7,colorful-sweep-22,64,8,300,0.002,False,256,128,transformer,adamw,10,5,1024,13,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.03941779211163521,37,0.9923850297927856,0,0.04034533351659775,3,0.002438846044242382,3,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0
8,sweet-sweep-21,42,8,300,0.002,False,256,128,transformer,adamw,10,5,1024,13,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.03886202722787857,23,0.9924383163452148,0,0.039572566747665405,1,0.0016660820692777634,1,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0
9,floral-sweep-24,5748,8,300,0.002,False,256,128,transformer,adamw,10,5,1024,13,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.03943586349487305,55,0.9923850297927856,0,0.0399155355989933,3,0.0020090509206056595,3,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0
10,flowing-sweep-20,23567,8,300,0.002,False,256,128,transformer,adamw,10,10,1024,10,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.0386698879301548,48,0.9923698902130127,0,0.039430879056453705,2,0.001524391584098339,2,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0
11,easy-sweep-14,5748,8,300,0.002,False,256,128,transformer,adamw,10,5,1024,10,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.03877216577529907,63,0.9923850297927856,0,0.039128612726926804,3,0.001222127117216587,3,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0
12,fresh-sweep-10,23567,8,300,0.002,False,256,128,transformer,adamw,10,10,1024,7,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.03842080011963844,45,0.9923698902130127,0,0.03935328871011734,13,0.0014468003064393997,13,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0
13,distinctive-sweep-16,42,8,300,0.002,False,256,128,transformer,adamw,10,10,1024,10,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.03859567642211914,33,0.9924383163452148,0,0.039512041956186295,1,0.001605556346476078,1,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0
14,still-sweep-18,982,8,300,0.002,False,256,128,transformer,adamw,10,10,1024,10,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.03825919330120087,162,0.9923622608184814,0,0.039710354059934616,1,0.001803867518901825,1,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0
15,chocolate-sweep-12,64,8,300,0.002,False,256,128,transformer,adamw,10,5,1024,10,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.0383891835808754,60,0.9923850297927856,0,0.03942405804991722,2,0.0015175733715295792,2,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0
16,ethereal-sweep-11,42,8,300,0.002,False,256,128,transformer,adamw,10,5,1024,10,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.0385289266705513,32,0.9924383163452148,0,0.03966803848743439,1,0.0017615482211112976,1,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0
17,fragrant-sweep-17,64,8,300,0.002,False,256,128,transformer,adamw,10,10,1024,10,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.03851783648133278,49,0.9923850297927856,0,0.039519958198070526,1,0.0016134707257151604,1,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0
18,woven-sweep-15,23567,8,300,0.002,False,256,128,transformer,adamw,10,5,1024,10,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.03869514912366867,77,0.9923698902130127,0,0.03944282978773117,3,0.0015363432466983795,3,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0
19,clean-sweep-19,5748,8,300,0.002,False,256,128,transformer,adamw,10,10,1024,10,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.03872839733958244,37,0.9923850297927856,0,0.039223894476890564,1,0.001317409798502922,1,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0
20,genial-sweep-13,982,8,300,0.002,False,256,128,transformer,adamw,10,5,1024,10,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.038321614265441895,101,0.9923622608184814,0,0.0393754243850708,5,0.0014689387753605843,5,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0
21,worthy-sweep-6,42,8,300,0.002,False,256,128,transformer,adamw,10,10,1024,7,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.037791650742292404,373,0.9924383163452148,0,0.03938322141766548,2,0.001476735807955265,2,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0
22,happy-sweep-5,23567,8,300,0.002,False,256,128,transformer,adamw,10,5,1024,7,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.038224510848522186,148,0.9923698902130127,0,0.03934913128614426,3,0.00144264567643404,3,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0
23,misunderstood-sweep-7,64,8,300,0.002,False,256,128,transformer,adamw,10,10,1024,7,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.03819702938199043,443,0.9923850297927856,0,0.03937250003218651,4,0.0014660144224762917,4,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0
24,misunderstood-sweep-9,5748,8,300,0.002,False,256,128,transformer,adamw,10,10,1024,7,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.03791442885994911,482,0.9924002885818481,47,0.03905927389860153,24,0.0011527864262461662,24,0.6666666865348816,0,1.0,0.6666666865348816,1.0,0.0,0,0,0,0,0.0,0,0,0,0,0
25,confused-sweep-8,982,8,300,0.002,False,256,128,transformer,adamw,10,10,1024,7,0.1,0.006,10,128,2,0.4,10,True,256,8,16,4,4,0,0,0.038326893001794815,107,0.9923622608184814,0,0.03936709463596344,5,0.0014606071636080742,5,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0
