,name,seed_everything,test_prompt_length,max_pred_length,lr,adversarial_training,max_length,batch_size,model,optimizer,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,layer_norm_eps,lstm_embedding_dim,lstm_hidden_dim,lstm_num_layers,lstm_dropout,xlstm_embedding_dim,xlstm_num_blocks,linear_embedding_dim,linear_bias,linear_dim,mamba_d_model,mamba_d_state,mamba_d_conv,mamba_n_layers,min_train_loss,min_train_loss_step,max_val_accuracy,max_val_accuracy_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,rule_1_accuracy4min_val_loss,rule_3_accuracy4min_val_loss,rule_2_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,finished4min_val_loss,ood_rule_1_accuracy4min_val_loss,ood_rule_3_accuracy4min_val_loss,ood_rule_2_completion_accuracy4min_val_loss,ood_rule_2_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,ood_finished4min_val_loss,sos_rule_1_accuracy4min_val_loss,sos_rule_3_accuracy4min_val_loss,sos_rule_2_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss,sos_finished4min_val_loss
0,true-sweep-25,982,6,300,0.002,False,256,128,transformer,adamw,10,5,1024,11,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.2558688223361969,65,0.8436892628669739,2,0.2755485773086548,2,0.2376421093940735,2,0.28125,0,0.25,0.1875,1.0,0.0,0,0.9333333373069763,0,0,1.0,1.0,0,1.0,1.0,1.0
1,scarlet-sweep-24,42,6,300,0.002,False,256,128,transformer,adamw,10,10,1024,11,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.24477294087409973,64,0.8367202281951904,2,0.2903346121311188,2,0.2524281144142151,2,0.5,0,0.5,0.5,1.0,1.0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0
2,proud-sweep-23,64,6,300,0.002,False,256,128,transformer,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.21081146597862244,35,0.8449203372001648,3,0.27378082275390625,3,0.23587432503700256,3,0.96875,0,1.0,0.875,1.0,1.0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0
3,crimson-sweep-22,64,6,300,0.002,False,256,128,transformer,adamw,10,10,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.1566612422466278,435,0.8519120812416077,10,0.26355764269828796,9,0.22565114498138428,9,1.0,0,1.0,1.0,1.0,1.0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0
4,fast-sweep-21,5748,6,300,0.002,False,256,128,transformer,adamw,10,5,1024,13,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.24486543238162994,45,0.8443655967712402,3,0.2739202082157135,3,0.236013725399971,3,0.0,0,1.0,0.0,1.0,0.3333333432674408,0,1.0,0,0,0.1875,1.0,0,1.0,1.0,1.0
5,silvery-sweep-20,23567,6,300,0.002,False,256,128,transformer,adamw,10,10,1024,11,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.2024480402469635,432,0.8543516397476196,5,0.25382673740386963,8,0.21592026948928833,8,0.35483869910240173,0,0.35483869910240173,0.29032257199287415,1.0,1.0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0
6,ancient-sweep-19,23567,6,300,0.002,False,256,128,transformer,adamw,10,10,1024,13,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.25736531615257263,34,0.8473522663116455,0,0.3093775808811188,0,0.2714711129665375,0,0.0,0,0.0,0.0,0.0,0.3214285671710968,0,0.5,0,0,0.875,0.0,0,1.0,0.0,1.0
7,treasured-sweep-18,42,6,300,0.002,False,256,128,transformer,adamw,10,10,1024,11,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.25547975301742554,44,0.8323884606361389,1,0.29372429847717285,2,0.25581780076026917,2,0.375,0,0.375,0.2222222238779068,1.0,1.0,0,1.0,0,0,1.0,1.0,0,0.0,0.0,1.0
8,volcanic-sweep-17,23567,6,300,0.002,False,256,128,transformer,adamw,10,10,1024,13,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.2644794285297394,31,0.8459463119506836,0,0.308464914560318,0,0.2705584168434143,0,0.0,0,0.0,0.0,0.15625,0.03125,0,0.5625,0,0,1.0,0.19130434095859528,0,1.0,0.19130434095859528,0.8984375
9,sunny-sweep-14,64,6,300,0.002,False,256,128,transformer,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.21081146597862244,40,0.8449203372001648,3,0.27378082275390625,3,0.23587432503700256,3,0.96875,0,1.0,0.875,1.0,1.0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0
10,scarlet-sweep-12,982,6,300,0.002,False,256,128,transformer,adamw,10,5,1024,11,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.2558687627315521,63,0.8436892628669739,2,0.2755485773086548,2,0.2376420944929123,2,0.28125,0,0.25,0.1875,1.0,0.0,0,0.9333333373069763,0,0,1.0,1.0,0,1.0,1.0,1.0
11,warm-sweep-15,64,6,300,0.002,False,256,128,transformer,adamw,10,10,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.1566612422466278,437,0.8519120812416077,10,0.26355764269828796,9,0.22565115988254547,9,1.0,0,1.0,1.0,1.0,1.0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0
12,serene-sweep-16,23567,6,300,0.002,False,256,128,transformer,adamw,10,10,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.19667264819145203,413,0.861791729927063,8,0.24429485201835632,9,0.20638836920261383,9,1.0,0,1.0,0.9615384340286255,1.0,1.0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0
13,sunny-sweep-14,64,6,300,0.002,False,256,128,transformer,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.21081146597862244,40,0.8449203372001648,3,0.27378082275390625,3,0.23587432503700256,3,0.96875,0,1.0,0.875,1.0,1.0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0
14,ethereal-sweep-11,64,6,300,0.002,False,256,128,transformer,adamw,10,10,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.156661257147789,427,0.8519120812416077,10,0.26355764269828796,9,0.22565117478370667,9,1.0,0,1.0,1.0,1.0,1.0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0
15,ethereal-sweep-10,42,6,300,0.002,False,256,128,transformer,adamw,10,5,1024,13,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.24611474573612213,61,0.8316740989685059,2,0.2935344874858856,2,0.2556280195713043,2,0.0,0,0.0,0.0,1.0,0.3333333432674408,0,1.0,0,0,1.0,0.0,0,0.0,0.0,1.0
16,pretty-sweep-9,5748,6,300,0.002,False,256,128,transformer,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.211626335978508,452,0.8536676168441772,12,0.26410412788391113,9,0.22619764506816864,9,1.0,0,1.0,1.0,1.0,1.0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0
17,wise-sweep-8,42,6,300,0.002,False,256,128,transformer,adamw,10,10,1024,11,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.24477297067642212,68,0.8367202281951904,2,0.2903345823287964,2,0.2524280846118927,2,0.5,0,0.5,0.5,1.0,1.0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0
18,deft-sweep-6,5748,6,300,0.002,False,256,128,transformer,adamw,10,10,1024,11,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.25476282835006714,45,0.8412724733352661,1,0.28193315863609314,1,0.24402667582035065,1,0.5833333134651184,0,0.4166666567325592,0.0,0.375,0.0,0,1.0,0,0,0.0625,1.0,0,1.0,1.0,1.0
19,fancy-sweep-7,5748,6,300,0.002,False,256,128,transformer,adamw,10,5,1024,11,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.2113569676876068,411,0.8542755842208862,13,0.2598556876182556,5,0.22194921970367432,5,1.0,0,1.0,1.0,1.0,1.0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0
20,fearless-sweep-5,42,6,300,0.002,False,256,128,transformer,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.1766718327999115,447,0.8474966883659363,13,0.27342870831489563,8,0.23552222549915314,8,1.0,0,1.0,1.0,1.0,1.0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0
21,decent-sweep-4,5748,6,300,0.002,False,256,128,transformer,adamw,10,10,1024,13,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.2446996122598648,39,0.8484238386154175,3,0.26755785942077637,3,0.22965136170387268,3,0.8999999761581421,0,0.9375,0.6000000238418579,1.0,1.0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0
22,radiant-sweep-3,42,6,300,0.002,False,256,128,transformer,adamw,10,5,1024,11,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.2556902766227722,46,0.8315524458885193,1,0.2960498034954071,2,0.2581433057785034,2,0.4333333373069763,0,0.3333333432674408,0.20000000298023224,0.9375,0.96875,0,1.0,0,0,1.0,1.0,0,0.0,0.0,1.0
23,usual-sweep-2,42,6,300,0.002,False,256,128,transformer,adamw,10,10,1024,11,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.24477291107177734,65,0.8367202281951904,2,0.2903345823287964,2,0.2524280846118927,2,0.5,0,0.5,0.5,1.0,1.0,0,1.0,0,0,1.0,1.0,0,1.0,1.0,1.0
24,misunderstood-sweep-5,42,6,300,0.002,False,256,128,transformer,adamw,10,5,1024,13,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0,0,0.25549256801605225,51,0.8317272663116455,2,0.2959005832672119,2,0.2579941153526306,2,0.0,0,0.0,0.0,1.0,0.09375,0,1.0,0,0,1.0,0.0,0,0.0,0.0,1.0
