,name,seed_everything,test_prompt_length,max_pred_length,lr,adversarial_training,max_length,batch_size,model,optimizer,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,layer_norm_eps,lstm_embedding_dim,lstm_hidden_dim,lstm_num_layers,lstm_dropout,xlstm_embedding_dim,xlstm_num_blocks,linear_embedding_dim,linear_bias,linear_dim,mamba_d_model,mamba_d_state,mamba_d_conv,mamba_n_layers,min_train_loss,min_train_loss_step,max_val_accuracy,max_val_accuracy_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,rule_1_accuracy4min_val_loss,rule_3_accuracy4min_val_loss,rule_2_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,finished4min_val_loss,ood_rule_1_accuracy4min_val_loss,ood_rule_3_accuracy4min_val_loss,ood_rule_2_completion_accuracy4min_val_loss,ood_rule_2_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,ood_finished4min_val_loss,sos_rule_1_accuracy4min_val_loss,sos_rule_3_accuracy4min_val_loss,sos_rule_2_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss,sos_finished4min_val_loss
0,icy-sweep-20,77153,5,300,0.002,False,256,128,xlstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,64,6,0.017305439338088036,171,0.9961546659469604,11,0.017310475930571556,33,-0.020596010610461235,33,1.0,0,1.0,1.0,1.0,0.1538461595773697,0,1.0,0.12230215966701508,0,0.9456067085266113,1,0,1,1,1
1,iconic-sweep-19,30418,5,300,0.002,False,256,128,xlstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,64,6,0.017289509996771812,399,0.9961546659469604,14,0.0172899030148983,101,-0.02061658352613449,101,1.0,0,1.0,1.0,1.0,0.07999999821186066,0,1.0,0.118055559694767,0,0.9874476790428162,1,0,1,1,1
2,radiant-sweep-18,4826,5,300,0.002,False,256,128,xlstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,64,6,0.017288213595747948,304,0.9961546659469604,11,0.017288394272327423,60,-0.020618092268705368,60,1.0,0,1.0,1.0,1.0,0.1796875,0,1.0,0.12318841367959976,0,1.0,1,0,1,1,1
3,comfy-sweep-17,78409,5,300,0.002,False,256,128,xlstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,64,6,0.017301082611083984,251,0.9961546659469604,8,0.01730593666434288,27,-0.02060054987668991,27,1.0,0,1.0,1.0,1.0,0.09433961659669876,0,1.0,0.11965811997652054,0,0.9581589698791504,1,0,1,1,1
4,faithful-sweep-16,70210,5,300,0.002,False,256,128,xlstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,64,6,0.017302000895142555,178,0.9961546659469604,17,0.017300721257925034,35,-0.020605765283107758,35,1.0,0,1.0,1.0,1.0,0.12435232847929001,0,1.0,0.10596026480197906,0,0.9497907757759094,1,0,1,1,1
5,colorful-sweep-15,2051,5,300,0.002,False,256,128,xlstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,64,6,0.01730150170624256,230,0.9961546659469604,19,0.01730191521346569,45,-0.0206045713275671,45,1.0,0,1.0,1.0,1.0,0.10344827175140381,0,1.0,0.1221374049782753,0,0.9456067085266113,1,0,1,1,1
6,summer-sweep-14,12799,5,300,0.002,False,256,128,xlstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,64,6,0.017295323312282562,220,0.9961546659469604,11,0.017295539379119873,43,-0.020610947161912918,43,1.0,0,1.0,1.0,1.0,0.2929936349391937,0,1.0,0.12264150381088257,0,0.9874476790428162,1,0,1,1,1
7,clear-sweep-13,10590,5,300,0.002,False,256,128,xlstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,64,6,0.017302853986620903,145,0.9961546659469604,17,0.017303647473454475,27,-0.020602839067578316,27,1.0,0,1.0,1.0,1.0,0.07051282376050949,0,1.0,0.11971830576658249,0,0.9748954176902771,1,0,1,1,1
8,sage-sweep-12,51586,5,300,0.002,False,256,128,xlstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,64,6,0.017287619411945343,277,0.9961546659469604,9,0.01728772558271885,54,-0.020618760958313942,54,1.0,0,1.0,1.0,1.0,0.09859154373407364,0,1.0,0.13385826349258423,0,0.9246861934661865,1,0,1,1,1
9,fiery-sweep-11,50512,5,300,0.002,False,256,128,xlstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,64,6,0.017297793179750443,336,0.9961546659469604,15,0.01731048710644245,58,-0.02059599943459034,58,1.0,0,1.0,1.0,1.0,0.0892857164144516,0,1.0,0.1376146674156189,0,0.9497907757759094,1,0,1,1,1
