,name,seed_everything,test_prompt_length,max_pred_length,lr,adversarial_training,max_length,batch_size,model,optimizer,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,layer_norm_eps,lstm_embedding_dim,lstm_hidden_dim,lstm_num_layers,lstm_dropout,xlstm_embedding_dim,xlstm_num_blocks,linear_embedding_dim,linear_bias,linear_dim,mamba_d_model,mamba_d_state,mamba_d_conv,mamba_n_layers,min_train_loss,min_train_loss_step,max_val_accuracy,max_val_accuracy_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,rule_1_accuracy4min_val_loss,rule_3_accuracy4min_val_loss,rule_2_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,finished4min_val_loss,ood_rule_1_accuracy4min_val_loss,ood_rule_3_accuracy4min_val_loss,ood_rule_2_completion_accuracy4min_val_loss,ood_rule_2_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,ood_finished4min_val_loss,sos_rule_1_accuracy4min_val_loss,sos_rule_3_accuracy4min_val_loss,sos_rule_2_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss,sos_finished4min_val_loss
0,clean-sweep-18,22621,6,300,0.002,False,256,128,xlstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,64,6,0.0156610906124115,134,0.8482718467712402,0,0.26591095328330994,0,0.22800444066524506,0,0.75,0,0.46875,0.1875,1.0,0.28125,0,1.0,0,0,1.0,1,0,1,1,1
1,dandy-sweep-17,39081,6,300,0.002,False,256,128,xlstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,64,6,0.017188819125294685,345,0.841751217842102,0,0.2800775468349457,3,0.242171049118042,3,0.71875,0,0.7083333134651184,0.46875,1.0,0.78125,0,0.96875,0,0,1.0,1,0,1,1,1
2,comic-sweep-16,24658,6,300,0.002,False,256,128,xlstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,64,6,0.0157321747392416,406,0.8558335304260254,0,0.2554404139518738,0,0.2175339311361313,0,0.71875,0,1.0,0.6129032373428345,1.0,0.65625,0,1.0,0,0,1.0,1,0,1,1,1
3,amber-sweep-15,72484,6,300,0.002,False,256,128,xlstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,64,6,0.016312362626194954,373,0.8415764570236206,0,0.2778064012527466,0,0.2398999184370041,0,0.6875,0,0.6296296119689941,0.35483869910240173,1.0,0.96875,0,1.0,0,0,1.0,1,0,1,1,1
4,lucky-sweep-14,24637,6,300,0.002,False,256,128,xlstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,64,6,0.017125431448221207,188,0.8428228497505188,0,0.27604228258132935,0,0.23813578486442566,0,0.4642857015132904,0,0.46666666865348816,0.1666666716337204,1.0,0.9375,0,1.0,0,0,1.0,1,0,1,1,1
5,visionary-sweep-13,67320,6,300,0.002,False,256,128,xlstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,64,6,0.01688259467482567,438,0.8389698266983032,0,0.2820054292678833,0,0.244098961353302,0,0.59375,0,0.78125,0.40625,1.0,0.517241358757019,0,1.0,0,0,1.0,1,0,1,1,1
6,swift-sweep-12,15512,6,300,0.002,False,256,128,xlstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,64,6,0.015317004173994064,278,0.8471319079399109,0,0.26947957277297974,0,0.23157308995723724,0,1.0,0,0.5333333611488342,0.3333333432674408,1.0,0.625,0,1.0,0,0,1.0,1,0,1,1,1
7,smart-sweep-11,35429,6,300,0.002,False,256,128,xlstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,64,6,0.015506584197282791,133,0.8506353497505188,0,0.26548677682876587,0,0.22758030891418457,0,0.6551724076271057,0,0.6206896305084229,0.4482758641242981,1.0,0.625,0,1.0,0,0,1.0,1,0,1,1,1
8,comfy-sweep-10,6289,6,300,0.002,False,256,128,xlstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,64,6,0.015699859708547592,315,0.8451407551765442,0,0.2741653323173523,0,0.236258864402771,0,0.7666666507720947,0,0.9666666388511658,0.6000000238418579,1.0,0.6551724076271057,0,0.96875,0,0,1.0,1,0,1,1,1
9,comfy-sweep-9,62064,6,300,0.002,False,256,128,xlstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,64,6,0.015743352472782135,489,0.849001407623291,0,0.2657790184020996,0,0.22787253558635712,0,0.65625,0,0.71875,0.4375,1.0,0.65625,0,0.9375,0,0,1.0,1,0,1,1,1
10,zesty-sweep-8,25049,6,300,0.002,False,256,128,xlstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,64,6,0.01528682466596365,266,0.851395308971405,0,0.2618194818496704,6,0.22391299903392792,6,0.625,0,0.7200000286102295,0.42307692766189575,1.0,0.65625,0,1.0,0,0,1.0,1,0,1,1,1
11,sage-sweep-7,69811,6,300,0.002,False,256,128,xlstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,64,6,0.015678487718105316,181,0.8307924866676331,0,0.29620087146759033,0,0.25829437375068665,0,0.59375,0,0.46666666865348816,0.30000001192092896,1.0,0.6875,0,1.0,0,0,1.0,1,0,1,1,1
12,golden-sweep-6,61529,6,300,0.002,False,256,128,xlstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,64,6,0.015498591586947441,464,0.8422528505325317,0,0.277292400598526,0,0.2393859326839447,0,0.7599999904632568,0,0.5862069129943848,0.5199999809265137,1.0,0.6896551847457886,0,1.0,0,0,1.0,1,0,1,1,1
13,blooming-sweep-5,34610,6,300,0.002,False,256,128,xlstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,64,6,0.016305461525917053,412,0.8484998345375061,0,0.2672020494937897,0,0.22929556667804718,0,0.8333333134651184,0,0.6296296119689941,0.5555555820465088,1.0,0.9375,0,1.0,0,0,1.0,1,0,1,1,1
14,comic-sweep-4,53980,6,300,0.002,False,256,128,xlstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,64,6,0.016110189259052277,205,0.8288469910621643,0,0.3042697608470917,0,0.266363263130188,0,0.75,0,0.6451612710952759,0.5454545617103577,1.0,0.75,0,1.0,0,0,1.0,1,0,1,1,1
15,desert-sweep-3,23701,6,300,0.002,False,256,128,xlstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,64,6,0.016183719038963318,350,0.8490926027297974,0,0.2679208517074585,0,0.2300143539905548,0,0.7727272510528564,0,0.59375,0.1875,1.0,0.6896551847457886,0,0.96875,0,0,1.0,1,0,1,1,1
16,helpful-sweep-2,27145,6,300,0.002,False,256,128,xlstm,adamw,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,64,6,0.015850534662604332,488,0.8577715158462524,0,0.25088560581207275,7,0.21297913789749146,7,0.6551724076271057,0,0.7692307829856873,0.25,1.0,0.59375,0,1.0,0,0,1.0,1,0,1,1,1
